pair_id	method	left_species	left_gene	left_role	right_species	right_gene	right_role	is_main_pair	is_lchi09014_anchor_pair	is_syntenic	collinearity_block_id	collinearity_block_size	ka	ks	kaks	kaks_status	aligned_codons	aa_identity	alignment_status	alignment_error	collinearity_file
P0015	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Picea_abies	MA_491379g0010	single_copy	False	False	False			0.193392	3.65456	0.052918	ok	321	0.7071651090342679	ok		
P0016	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	QuercusSuber	XP_023926621.1	single_copy	False	False	False			0.0855046	0.914111	0.0935385	ok	332	0.858433734939759	ok		
P0017	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	False	False	True	171	7	0.0737522	0.843236	0.0874633	ok	331	0.8761329305135952	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Camellia_oleifera__vs__Vitis_vinifera/Camellia_oleifera__vs__Vitis_vinifera.collinearity
P0018	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.0836655	1.31707	0.0635241	ok	330	0.8515151515151516	ok		
P0019	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Zea_mays	NP_001130585.1	besthit	False	False	False			0.105376	4.40651	0.0239138	ok	332	0.8162650602409639	ok		
P0020	GY	Camellia_oleifera	maker-HiC_scaffold_7-snap-gene-1397.22-mRNA-1	secondary_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.100762	4.50333	0.0223751	ok	329	0.817629179331307	ok		
P0021	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Liquidambar	KAK9284459.1	single_copy	True	False	True	161	12	0.0705062	0.540575	0.130428	ok	331	0.8731117824773413	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Castanea_mollissima__vs__Liquidambar/Castanea_mollissima__vs__Liquidambar.collinearity
P0022	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Liriodendron_chinense	Lchi09014	anchor_main	True	True	True	33	9	0.0634434	2.23611	0.0283722	ok	332	0.8885542168674698	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Castanea_mollissima/Liriodendron_chinense__vs__Castanea_mollissima.collinearity
P0023	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Liriodendron_chinense	Lchi23640	secondary_copy	False	False	True	37	7	0.123475	3.43956	0.0358986	ok	244	0.8032786885245902	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Castanea_mollissima/Liriodendron_chinense__vs__Castanea_mollissima.collinearity
P0024	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Picea_abies	MA_491379g0010	single_copy	True	False	False			0.15009	3.57176	0.0420214	ok	319	0.7554858934169278	ok		
P0025	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	QuercusSuber	XP_023926621.1	single_copy	True	False	True	121	9	0.0183351	0.0389559	0.470663	ok	333	0.963963963963964	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Castanea_mollissima__vs__QuercusSuber/Castanea_mollissima__vs__QuercusSuber.collinearity
P0026	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	False	True	164	12	0.0651281	0.84138	0.0774062	ok	332	0.8855421686746988	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Castanea_mollissima__vs__Vitis_vinifera/Castanea_mollissima__vs__Vitis_vinifera.collinearity
P0027	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.0930177	1.21281	0.0766963	ok	331	0.8338368580060423	ok		
P0028	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Zea_mays	NP_001130585.1	besthit	True	False	False			0.108727	4.02055	0.0270428	ok	332	0.8192771084337349	ok		
P0029	GY	Castanea_mollissima	CmMahoganyH2.02G171900.1.v1.1	single_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.100544	4.07453	0.0246763	ok	328	0.8323170731707317	ok		
P0030	GY	Liquidambar	KAK9284459.1	single_copy	Liriodendron_chinense	Lchi09014	anchor_main	True	True	True	176	28	0.0724434	1.92962	0.0375429	ok	331	0.8610271903323263	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Liquidambar/Liriodendron_chinense__vs__Liquidambar.collinearity
P0031	GY	Liquidambar	KAK9284459.1	single_copy	Liriodendron_chinense	Lchi23640	secondary_copy	False	False	True	195	9	0.154292	3.49993	0.0440842	ok	255	0.7725490196078432	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Liquidambar/Liriodendron_chinense__vs__Liquidambar.collinearity
P0032	GY	Liquidambar	KAK9284459.1	single_copy	Picea_abies	MA_491379g0010	single_copy	True	False	False			0.165599	3.6614	0.0452282	ok	318	0.7358490566037735	ok		
P0033	GY	Liquidambar	KAK9284459.1	single_copy	QuercusSuber	XP_023926621.1	single_copy	True	False	True	119	10	0.0738571	0.561045	0.131642	ok	331	0.8670694864048338	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/QuercusSuber__vs__Liquidambar/QuercusSuber__vs__Liquidambar.collinearity
P0034	GY	Liquidambar	KAK9284459.1	single_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	False	True	237	13	0.0590237	0.603634	0.0977806	ok	331	0.8942598187311178	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liquidambar__vs__Vitis_vinifera/Liquidambar__vs__Vitis_vinifera.collinearity
P0035	GY	Liquidambar	KAK9284459.1	single_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.0828106	1.10033	0.0752598	ok	331	0.8549848942598187	ok		
P0036	GY	Liquidambar	KAK9284459.1	single_copy	Zea_mays	NP_001130585.1	besthit	True	False	False			0.119619	4.26431	0.0280513	ok	331	0.8066465256797583	ok		
P0037	GY	Liquidambar	KAK9284459.1	single_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.0995449	4.45422	0.0223485	ok	322	0.8291925465838509	ok		
P0038	GY	Liriodendron_chinense	Lchi09014	anchor_main	Picea_abies	MA_491379g0010	single_copy	True	True	False			0.146486	4.43959	0.0329955	ok	319	0.7523510971786834	ok		
P0039	GY	Liriodendron_chinense	Lchi09014	anchor_main	QuercusSuber	XP_023926621.1	single_copy	True	True	False			0.0697622	2.82686	0.0246783	ok	332	0.8765060240963856	ok		
P0040	GY	Liriodendron_chinense	Lchi09014	anchor_main	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	True	True	156	10	0.0661062	2.80702	0.0235504	ok	332	0.8795180722891566	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Vitis_vinifera/Liriodendron_chinense__vs__Vitis_vinifera.collinearity
P0041	GY	Liriodendron_chinense	Lchi09014	anchor_main	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	True	True	152	7	0.0791962	1.63529	0.0484295	ok	331	0.8580060422960725	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Vitis_vinifera/Liriodendron_chinense__vs__Vitis_vinifera.collinearity
P0042	GY	Liriodendron_chinense	Lchi09014	anchor_main	Zea_mays	NP_001130585.1	besthit	True	True	False			0.106376	5.69135	0.0186909	ok	331	0.8036253776435045	ok		
P0043	GY	Liriodendron_chinense	Lchi09014	anchor_main	Zea_mays	NP_001344440.1	secondary_copy	False	True	False			0.0987553	5.79391	0.0170447	ok	327	0.8226299694189603	ok		
P0044	GY	Liriodendron_chinense	Lchi23640	secondary_copy	Picea_abies	MA_491379g0010	single_copy	False	False	False			0.191326	4.33882	0.0440963	ok	242	0.6983471074380165	ok		
P0045	GY	Liriodendron_chinense	Lchi23640	secondary_copy	QuercusSuber	XP_023926621.1	single_copy	False	False	False			0.127689	3.44103	0.0371078	ok	244	0.7991803278688525	ok		
P0046	GY	Liriodendron_chinense	Lchi23640	secondary_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	False	False	True	230	7	0.145644	3.57324	0.0407596	ok	255	0.7764705882352941	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Vitis_vinifera/Liriodendron_chinense__vs__Vitis_vinifera.collinearity
P0047	GY	Liriodendron_chinense	Lchi23640	secondary_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	True	224	12	0.13561	3.75844	0.0360814	ok	251	0.7808764940239044	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/Liriodendron_chinense__vs__Vitis_vinifera/Liriodendron_chinense__vs__Vitis_vinifera.collinearity
P0048	GY	Liriodendron_chinense	Lchi23640	secondary_copy	Zea_mays	NP_001130585.1	besthit	False	False	False			0.148964	5.67097	0.0262678	ok	244	0.7459016393442623	ok		
P0049	GY	Liriodendron_chinense	Lchi23640	secondary_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.167419	5.54874	0.0301725	ok	244	0.7336065573770492	ok		
P0050	GY	Picea_abies	MA_491379g0010	single_copy	QuercusSuber	XP_023926621.1	single_copy	True	False	False			0.164082	3.56508	0.0460247	ok	319	0.7304075235109718	ok		
P0051	GY	Picea_abies	MA_491379g0010	single_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	False	False			0.171131	3.64007	0.047013	ok	319	0.7241379310344828	ok		
P0052	GY	Picea_abies	MA_491379g0010	single_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.172417	3.81393	0.0452072	ok	318	0.7138364779874213	ok		
P0053	GY	Picea_abies	MA_491379g0010	single_copy	Zea_mays	NP_001130585.1	besthit	True	False	False			0.135397	6.02647	0.022467	ok	319	0.7586206896551724	ok		
P0054	GY	Picea_abies	MA_491379g0010	single_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.142508	5.98772	0.0238	ok	314	0.7515923566878981	ok		
P0055	GY	QuercusSuber	XP_023926621.1	single_copy	Vitis_vinifera	XP_002274796.1	syntenic_besthit	True	False	True	45	8	0.0702682	0.855259	0.0821602	ok	332	0.8795180722891566	ok		/data/hongky_data/Cross_species_SE_Transcriptome/FINAL/04_results/mcscanx_allpairs_fixed/QuercusSuber__vs__Vitis_vinifera/QuercusSuber__vs__Vitis_vinifera.collinearity
P0056	GY	QuercusSuber	XP_023926621.1	single_copy	Vitis_vinifera	XP_002283699.1	syntenic_secondary	False	False	False			0.0913403	1.24702	0.0732471	ok	331	0.8338368580060423	ok		
P0057	GY	QuercusSuber	XP_023926621.1	single_copy	Zea_mays	NP_001130585.1	besthit	True	False	False			0.116427	4.04386	0.0287911	ok	332	0.8072289156626506	ok		
P0058	GY	QuercusSuber	XP_023926621.1	single_copy	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.111118	4.10031	0.0270998	ok	328	0.8140243902439024	ok		
P0059	GY	Vitis_vinifera	XP_002274796.1	syntenic_besthit	Zea_mays	NP_001130585.1	besthit	True	False	False			0.0971457	4.37943	0.0221823	ok	331	0.8308157099697885	ok		
P0060	GY	Vitis_vinifera	XP_002274796.1	syntenic_besthit	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.091744	4.4295	0.0207121	ok	327	0.8409785932721713	ok		
P0061	GY	Vitis_vinifera	XP_002283699.1	syntenic_secondary	Zea_mays	NP_001130585.1	besthit	False	False	False			0.112365	4.78243	0.0234955	ok	331	0.8096676737160121	ok		
P0062	GY	Vitis_vinifera	XP_002283699.1	syntenic_secondary	Zea_mays	NP_001344440.1	secondary_copy	False	False	False			0.0940749	4.87951	0.0192796	ok	322	0.8322981366459627	ok		
