rank	source	target	interaction	pearson_r	abs_r	correlation_sign	source_degree	target_degree	core_score	source_annotation	target_annotation
76	Lchi13371	Lchi16235	positive_coexpression	0.98297507	0.98297507	positive	1040	181	426.47979482	ethylene-responsive transcription factor 4-like	beta-glucosidase 44-like
77	Lchi07566	Lchi11589	positive_coexpression	0.99897760	0.99897760	positive	1059	172	426.35165553	LOB domain-containing protein 25-like isoform X3	ribonuclease 3-like
78	Lchi07566	Lchi05513	positive_coexpression	0.98455298	0.98455298	positive	1059	177	426.25913986	LOB domain-containing protein 25-like isoform X3	methyl-CpG-binding domain-containing protein 11-like isoform X1
79	Lchi02953	Lchi25772	positive_coexpression	0.97396576	0.97396576	positive	1070	179	426.24774433	homeobox-leucine zipper protein ATHB-13-like isoform X1	cysteine proteinase inhibitor 5-like
80	Lchi07566	Lchi09003	positive_coexpression	0.98669392	0.98669392	positive	1059	176	425.97760362	LOB domain-containing protein 25-like isoform X3	allene oxide synthase 1, chloroplastic-like
81	Lchi09693	Lchi11642	positive_coexpression	0.98760873	0.98760873	positive	1033	180	425.86439673	homeobox-leucine zipper protein ATHB-6-like	arogenate dehydrogenase 2, chloroplastic-like
82	Lchi06972	Lchi18724	positive_coexpression	0.98242581	0.98242581	positive	1055	178	425.73170550	transcription factor bHLH149-like	protein DETOXIFICATION 33-like
83	Lchi09693	Lchi17615	positive_coexpression	0.99552464	0.99552464	positive	1033	177	425.68545136	homeobox-leucine zipper protein ATHB-6-like	zinc finger CCCH domain-containing protein 53-like isoform X2
84	Lchi23901	Lchi16999	positive_coexpression	0.99103743	0.99103743	positive	1111	166	425.59952143	B-box zinc finger protein 20-like	probable polygalacturonase
85	Lchi06007	Lchi02750	positive_coexpression	0.99806654	0.99806654	positive	1027	177	425.53114420	homeobox-leucine zipper protein HAT2-like	LRR receptor-like serine/threonine-protein kinase ERECTA
86	Lchi18250	Lchi14169	positive_coexpression	0.98289669	0.98289669	positive	1077	174	425.49097063	transcription factor bHLH93	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
87	Lchi13937	Lchi25772	negative_coexpression	-0.99090964	0.99090964	negative	1030	179	425.48003009	B3 domain-containing protein Os03g0212300-like	cysteine proteinase inhibitor 5-like
88	Lchi07566	Lchi26693	positive_coexpression	0.98229939	0.98229939	positive	1059	177	425.28345510	LOB domain-containing protein 25-like isoform X3	zinc-finger homeodomain protein 1-like
89	Lchi22877	Lchi17168	positive_coexpression	0.99064773	0.99064773	positive	1041	177	425.23719687	transcription factor AS1	thiamine thiazole synthase 2, chloroplastic-like
90	Lchi08779	Lchi17443	positive_coexpression	0.98715580	0.98715580	positive	1025	181	425.19379851	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	plant/F18G18-20 protein
91	Lchi02953	Lchi11589	positive_coexpression	0.99098736	0.99098736	positive	1070	172	425.13242244	homeobox-leucine zipper protein ATHB-13-like isoform X1	ribonuclease 3-like
92	Lchi02953	Lchi27946	positive_coexpression	0.97406340	0.97406340	positive	1070	178	425.09805239	homeobox-leucine zipper protein ATHB-13-like isoform X1	receptor protein kinase CLAVATA1
93	Lchi13937	Lchi18724	negative_coexpression	-0.99268025	0.99268025	negative	1030	178	425.04801752	B3 domain-containing protein Os03g0212300-like	protein DETOXIFICATION 33-like
94	Lchi18250	Lchi16615	positive_coexpression	0.98445427	0.98445427	positive	1077	173	424.93886175	transcription factor bHLH93	germin-like protein 5-1
95	Lchi23901	Lchi02035	positive_coexpression	0.97749227	0.97749227	positive	1111	170	424.81008841	B-box zinc finger protein 20-like	amino acid permease 3-like
96	Lchi09693	Lchi17168	positive_coexpression	0.99346906	0.99346906	positive	1033	177	424.80648718	homeobox-leucine zipper protein ATHB-6-like	thiamine thiazole synthase 2, chloroplastic-like
97	Lchi07566	Lchi08727	positive_coexpression	0.98119169	0.98119169	positive	1059	177	424.80387985	LOB domain-containing protein 25-like isoform X3	LAX3-1
98	Lchi23901	Lchi06352	positive_coexpression	0.98320419	0.98320419	positive	1111	168	424.77152043	B-box zinc finger protein 20-like	polygalacturonase At1g48100
99	Lchi07566	Lchi11374	positive_coexpression	0.99510467	0.99510467	positive	1059	172	424.69873546	LOB domain-containing protein 25-like isoform X3	dehydrin/lea group 2-like protein
100	Lchi13937	Lchi27946	negative_coexpression	-0.99169171	0.99169171	negative	1030	178	424.62474228	B3 domain-containing protein Os03g0212300-like	receptor protein kinase CLAVATA1
101	Lchi06007	Lchi25772	positive_coexpression	0.99013209	0.99013209	positive	1027	179	424.52656673	homeobox-leucine zipper protein HAT2-like	cysteine proteinase inhibitor 5-like
102	Lchi07566	Lchi14169	positive_coexpression	0.98859531	0.98859531	positive	1059	174	424.36655582	LOB domain-containing protein 25-like isoform X3	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
103	Lchi23901	Lchi05990	positive_coexpression	0.96232152	0.96232152	positive	1111	175	424.32268614	B-box zinc finger protein 20-like	oleosin Cor a 13-like
104	Lchi06972	Lchi14169	positive_coexpression	0.99034029	0.99034029	positive	1055	174	424.31198780	transcription factor bHLH149-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
105	Lchi02953	Lchi11647	positive_coexpression	0.99485773	0.99485773	positive	1070	170	424.30419765	homeobox-leucine zipper protein ATHB-13-like isoform X1	ketol-acid reductoisomerase, chloroplastic-like
106	Lchi07566	Lchi19725	positive_coexpression	0.99694341	0.99694341	positive	1059	171	424.24481401	LOB domain-containing protein 25-like isoform X3	glucose and ribitol dehydrogenase-like
107	Lchi13937	Lchi25188	negative_coexpression	-0.99353462	0.99353462	negative	1030	177	424.21717776	B3 domain-containing protein Os03g0212300-like	villin-1 isoform X1
108	Lchi09693	Lchi05513	positive_coexpression	0.99185139	0.99185139	positive	1033	177	424.11477292	homeobox-leucine zipper protein ATHB-6-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
109	Lchi18250	Lchi28705	positive_coexpression	0.97960901	0.97960901	positive	1077	174	424.06775071	transcription factor bHLH93	oleosin S1-2
110	Lchi13937	Lchi05513	negative_coexpression	-0.99274290	0.99274290	negative	1030	177	423.87913094	B3 domain-containing protein Os03g0212300-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
111	Lchi06007	Lchi16235	positive_coexpression	0.98313981	0.98313981	positive	1027	181	423.87694096	homeobox-leucine zipper protein HAT2-like	beta-glucosidase 44-like
112	Lchi13371	Lchi11642	positive_coexpression	0.97966707	0.97966707	positive	1040	180	423.86878245	ethylene-responsive transcription factor 4-like	arogenate dehydrogenase 2, chloroplastic-like
113	Lchi23901	Lchi31555	negative_coexpression	-0.96678656	0.96678656	negative	1111	173	423.84853400	B-box zinc finger protein 20-like	protein CHUP1, chloroplastic-like isoform X1
114	Lchi07566	Lchi02750	positive_coexpression	0.97894776	0.97894776	positive	1059	177	423.83237736	LOB domain-containing protein 25-like isoform X3	LRR receptor-like serine/threonine-protein kinase ERECTA
115	Lchi02953	Lchi00354	positive_coexpression	0.98204261	0.98204261	positive	1070	174	423.73744622	homeobox-leucine zipper protein ATHB-13-like isoform X1	stress-related protein-like
116	Lchi08779	Lchi16235	positive_coexpression	0.98369676	0.98369676	positive	1025	181	423.70389960	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	beta-glucosidase 44-like
117	Lchi23901	Lchi27919	positive_coexpression	0.98661989	0.98661989	positive	1111	166	423.70241557	B-box zinc finger protein 20-like	non-functional NADPH-dependent codeinone reductase 2-like isoform X1
118	Lchi07566	Lchi07386	positive_coexpression	0.98137397	0.98137397	positive	1059	176	423.68086346	LOB domain-containing protein 25-like isoform X3	potassium transporter 2
119	Lchi18250	Lchi11374	positive_coexpression	0.98436517	0.98436517	positive	1077	172	423.67058620	transcription factor bHLH93	dehydrin/lea group 2-like protein
120	Lchi06972	Lchi17615	positive_coexpression	0.98020470	0.98020470	positive	1055	177	423.57434076	transcription factor bHLH149-like	zinc finger CCCH domain-containing protein 53-like isoform X2
121	Lchi13371	Lchi17443	positive_coexpression	0.97624701	0.97624701	positive	1040	181	423.56071606	ethylene-responsive transcription factor 4-like	plant/F18G18-20 protein
122	Lchi06007	Lchi27946	positive_coexpression	0.99062067	0.99062067	positive	1027	178	423.54797388	homeobox-leucine zipper protein HAT2-like	receptor protein kinase CLAVATA1
123	Lchi08779	Lchi18724	positive_coexpression	0.99138165	0.99138165	positive	1025	178	423.46040633	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	protein DETOXIFICATION 33-like
124	Lchi23901	Lchi28090	positive_coexpression	0.97723573	0.97723573	positive	1111	169	423.44764236	B-box zinc finger protein 20-like	protein P21-like protein
125	Lchi13937	Lchi26693	negative_coexpression	-0.99170601	0.99170601	negative	1030	177	423.43640198	B3 domain-containing protein Os03g0212300-like	zinc-finger homeodomain protein 1-like
126	Lchi15176	Lchi17443	positive_coexpression	0.99462724	0.99462724	positive	1001	181	423.36668033	transcription factor EGL1-like isoform X1	plant/F18G18-20 protein
127	Lchi02953	Lchi02035	positive_coexpression	0.99209535	0.99209535	positive	1070	170	423.12604987	homeobox-leucine zipper protein ATHB-13-like isoform X1	amino acid permease 3-like
128	Lchi02953	Lchi27397	positive_coexpression	0.99481320	0.99481320	positive	1070	169	423.03546750	homeobox-leucine zipper protein ATHB-13-like isoform X1	p-coumarate 3-hydroxylase-like
129	Lchi06007	Lchi26693	positive_coexpression	0.99218792	0.99218792	positive	1027	177	423.02476232	homeobox-leucine zipper protein HAT2-like	zinc-finger homeodomain protein 1-like
130	Lchi09693	Lchi25772	positive_coexpression	0.98369437	0.98369437	positive	1033	179	422.99658584	homeobox-leucine zipper protein ATHB-6-like	cysteine proteinase inhibitor 5-like
131	Lchi06007	Lchi05513	positive_coexpression	0.99207610	0.99207610	positive	1027	177	422.97708725	homeobox-leucine zipper protein HAT2-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
132	Lchi13937	Lchi09003	negative_coexpression	-0.99332815	0.99332815	negative	1030	176	422.92921806	B3 domain-containing protein Os03g0212300-like	allene oxide synthase 1, chloroplastic-like
133	Lchi13937	Lchi17615	negative_coexpression	-0.99041241	0.99041241	negative	1030	177	422.88406356	B3 domain-containing protein Os03g0212300-like	zinc finger CCCH domain-containing protein 53-like isoform X2
134	Lchi07566	Lchi00354	positive_coexpression	0.98508728	0.98508728	positive	1059	174	422.86069130	LOB domain-containing protein 25-like isoform X3	stress-related protein-like
135	Lchi23901	Lchi09565	positive_coexpression	0.99057937	0.99057937	positive	1111	164	422.83237501	B-box zinc finger protein 20-like	CBL-interacting serine/threonine-protein kinase 6
136	Lchi15589	Lchi17168	positive_coexpression	0.97281331	0.97281331	positive	1067	177	422.76433927	trihelix transcription factor GTL1 isoform X1	thiamine thiazole synthase 2, chloroplastic-like
137	Lchi02953	Lchi02750	positive_coexpression	0.97120690	0.97120690	positive	1070	177	422.65915578	homeobox-leucine zipper protein ATHB-13-like isoform X1	LRR receptor-like serine/threonine-protein kinase ERECTA
138	Lchi22877	Lchi17615	positive_coexpression	0.98463756	0.98463756	positive	1041	177	422.65732134	transcription factor AS1	zinc finger CCCH domain-containing protein 53-like isoform X2
139	Lchi02953	Lchi04752	positive_coexpression	0.99090993	0.99090993	positive	1070	170	422.62047137	homeobox-leucine zipper protein ATHB-13-like isoform X1	ABC transporter-like protein
140	Lchi02953	Lchi17921	positive_coexpression	0.97930545	0.97930545	positive	1070	174	422.55640053	homeobox-leucine zipper protein ATHB-13-like isoform X1	probable polygalacturonase
141	Lchi08487	Lchi16235	negative_coexpression	-0.98276383	0.98276383	negative	1021	181	422.47529964	WUSCHEL-related homeobox 9	beta-glucosidase 44-like
142	Lchi07566	Lchi07558	positive_coexpression	0.99274361	0.99274361	positive	1059	171	422.45760788	LOB domain-containing protein 25-like isoform X3	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
143	Lchi02953	Lchi19725	positive_coexpression	0.98761278	0.98761278	positive	1070	171	422.45129449	homeobox-leucine zipper protein ATHB-13-like isoform X1	glucose and ribitol dehydrogenase-like
144	Lchi23901	Lchi04815	positive_coexpression	0.98666066	0.98666066	positive	1111	165	422.44173146	B-box zinc finger protein 20-like	protein UNUSUAL FLORAL ORGANS-like
145	Lchi02953	Lchi07386	positive_coexpression	0.97342545	0.97342545	positive	1070	176	422.42627089	homeobox-leucine zipper protein ATHB-13-like isoform X1	potassium transporter 2
146	Lchi06972	Lchi25188	positive_coexpression	0.97754413	0.97754413	positive	1055	177	422.42463276	transcription factor bHLH149-like	villin-1 isoform X1
147	Lchi02953	Lchi12998	positive_coexpression	0.99044394	0.99044394	positive	1070	170	422.42172786	homeobox-leucine zipper protein ATHB-13-like isoform X1	putative disease resistance protein At5g47280
148	Lchi15589	Lchi17443	positive_coexpression	0.96117705	0.96117705	positive	1067	181	422.40095339	trihelix transcription factor GTL1 isoform X1	plant/F18G18-20 protein
149	Lchi18250	Lchi17615	positive_coexpression	0.96742618	0.96742618	positive	1077	177	422.38872872	transcription factor bHLH93	zinc finger CCCH domain-containing protein 53-like isoform X2
150	Lchi13937	Lchi17168	negative_coexpression	-0.98921591	0.98921591	negative	1030	177	422.37318468	B3 domain-containing protein Os03g0212300-like	thiamine thiazole synthase 2, chloroplastic-like
151	Lchi07566	Lchi05990	positive_coexpression	0.98110151	0.98110151	positive	1059	175	422.35821769	LOB domain-containing protein 25-like isoform X3	oleosin Cor a 13-like
152	Lchi23901	Lchi12819	positive_coexpression	0.98946714	0.98946714	positive	1111	164	422.35761562	B-box zinc finger protein 20-like	E3 ubiquitin-protein ligase RDUF1-like
153	Lchi13937	Lchi08727	negative_coexpression	-0.98916662	0.98916662	negative	1030	177	422.35213895	B3 domain-containing protein Os03g0212300-like	LAX3-1
154	Lchi23901	Lchi01385	positive_coexpression	0.97456390	0.97456390	positive	1111	169	422.28990725	B-box zinc finger protein 20-like	abscisic acid receptor PYR1-like
155	Lchi06972	Lchi16615	positive_coexpression	0.98822665	0.98822665	positive	1055	173	422.18795906	transcription factor bHLH149-like	germin-like protein 5-1
156	Lchi02953	Lchi26693	positive_coexpression	0.96998465	0.96998465	positive	1070	177	422.12724527	homeobox-leucine zipper protein ATHB-13-like isoform X1	zinc-finger homeodomain protein 1-like
157	Lchi18250	Lchi04752	positive_coexpression	0.98646331	0.98646331	positive	1077	170	422.09795620	transcription factor bHLH93	ABC transporter-like protein
158	Lchi09693	Lchi08727	positive_coexpression	0.98701280	0.98701280	positive	1033	177	422.04579614	homeobox-leucine zipper protein ATHB-6-like	LAX3-1
159	Lchi23901	Lchi01000	positive_coexpression	0.97107935	0.97107935	positive	1111	170	422.02308621	B-box zinc finger protein 20-like	V-type proton ATPase subunit B 2 isoform X1
160	Lchi09693	Lchi07386	positive_coexpression	0.98971772	0.98971772	positive	1033	176	422.00523714	homeobox-leucine zipper protein ATHB-6-like	potassium transporter 2
161	Lchi02953	Lchi07558	positive_coexpression	0.98622221	0.98622221	positive	1070	171	421.85647828	homeobox-leucine zipper protein ATHB-13-like isoform X1	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
