id	gene_id	original_gene_id	display_label	annotation	node_role_corrected	standard_name_or_gene_family	family_or_functional_category	color_hex
Lchi09003	Lchi09003	Lchi09003	Lchi09003	allene oxide synthase 1, chloroplastic-like	target_gene	Jasmonate-biosynthesis enzyme	Hormone signaling/metabolism	#E41A1C
Lchi00354	Lchi00354	Lchi00354	Lchi00354	stress-related protein-like	target_gene	Stress-related protein	Stress/defense/maturation	#E6AB02
Lchi15600	Lchi15600	Lchi15600	Lchi15600	actin-101	target_gene	Actin	Cytoskeleton/cell organization	#00A6D6
Lchi09693	Lchi09693	Lchi09693	ATHB6 [Lchi09693]	homeobox-leucine zipper protein ATHB-6-like	transcription_factor	ATHB6	HD-ZIP	#9467BD
Lchi25757	Lchi25757	Lchi25757	Lchi25757	cytochrome P450 71A1-like	target_gene	Cytochrome P450	Specialized metabolism	#984EA3
Lchi27397	Lchi27397	Lchi27397	Lchi27397	p-coumarate 3-hydroxylase-like	target_gene	Cytochrome P450/phenylpropanoid hydroxylase	Specialized metabolism	#984EA3
Lchi17921	Lchi17921	Lchi17921	Lchi17921	probable polygalacturonase	target_gene	Polygalacturonase	Carbohydrate/cell wall	#4DAF4A
Lchi06972	Lchi06972	Lchi06972	bHLH149 [Lchi06972]	transcription factor bHLH149-like	transcription_factor	bHLH149	bHLH	#D62728
Lchi19725	Lchi19725	Lchi19725	Lchi19725	glucose and ribitol dehydrogenase-like	target_gene	Glucose/ribitol dehydrogenase	Redox/oxygen homeostasis	#B3DE69
Lchi18250	Lchi18250	Lchi18250	bHLH93 [Lchi18250]	transcription factor bHLH93	transcription_factor	bHLH93	bHLH	#D62728
Lchi25487	Lchi25487	Lchi25487	Lchi25487	protein MOTHER of FT and TFL1-like protein	target_gene	PEBP/MFT	Development/cell cycle	#FC8D62
Lchi13937	Lchi13937	Lchi13937	Os03g0212300-like [Lchi13937]	B3 domain-containing protein Os03g0212300-like	transcription_factor	Os03g0212300-like	B3	#BCBD22
Lchi02750	Lchi02750	Lchi02750	Lchi02750	LRR receptor-like serine/threonine-protein kinase ERECTA	target_gene	LRR receptor-like kinase	Receptor/kinase signaling	#FF7F00
Lchi12998	Lchi12998	Lchi12998	Lchi12998	putative disease resistance protein At5g47280	target_gene	NLR-like resistance protein	Stress/defense/maturation	#E6AB02
Lchi06007	Lchi06007	Lchi06007	HAT2 [Lchi06007]	homeobox-leucine zipper protein HAT2-like	transcription_factor	HAT2	HD-ZIP	#9467BD
Lchi22877	Lchi22877	Lchi22877	AS1 [Lchi22877]	transcription factor AS1	transcription_factor	AS1	MYB	#2CA02C
Lchi11647	Lchi11647	Lchi11647	Lchi11647	ketol-acid reductoisomerase, chloroplastic-like	target_gene	Ketol-acid reductoisomerase	Primary metabolism	#A65628
Lchi28527	Lchi28527	Lchi28527	Lchi28527	heavy metal-associated isoprenylated plant protein 9 isoform X1	target_gene	HIPP heavy-metal protein	Stress/defense/maturation	#E6AB02
Lchi22953	Lchi22953	Lchi22953	Lchi22953	aspartyl protease family protein 2	target_gene	Aspartyl protease	Protein turnover/modification	#F781BF
Lchi02670	Lchi02670	Lchi02670	Lchi02670	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1	target_gene	Hydroxyacid oxidase/GLO	Primary metabolism	#A65628
Lchi13371	Lchi13371	Lchi13371	ERF4 [Lchi13371]	ethylene-responsive transcription factor 4-like	transcription_factor	ERF4	AP2/ERF	#17BECF
Lchi16999	Lchi16999	Lchi16999	Lchi16999	probable polygalacturonase	target_gene	Polygalacturonase	Carbohydrate/cell wall	#4DAF4A
Lchi08779	Lchi08779	Lchi08779	RAV2 [Lchi08779]	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	transcription_factor	RAV2	RAV	#7F7F7F
Lchi02035	Lchi02035	Lchi02035	Lchi02035	amino acid permease 3-like	target_gene	Amino acid permease	Transport and membrane	#377EB8
Lchi06352	Lchi06352	Lchi06352	Lchi06352	polygalacturonase At1g48100	target_gene	Polygalacturonase	Carbohydrate/cell wall	#4DAF4A
Lchi05990	Lchi05990	Lchi05990	Lchi05990	oleosin Cor a 13-like	target_gene	Oleosin	Lipid/sterol/storage	#66C2A5
Lchi31555	Lchi31555	Lchi31555	Lchi31555	protein CHUP1, chloroplastic-like isoform X1	target_gene	CHUP1 chloroplast-movement protein	Cytoskeleton/cell organization	#00A6D6
Lchi27919	Lchi27919	Lchi27919	Lchi27919	non-functional NADPH-dependent codeinone reductase 2-like isoform X1	target_gene	Short-chain dehydrogenase/reductase	Specialized metabolism	#984EA3
Lchi28090	Lchi28090	Lchi28090	Lchi28090	protein P21-like protein	target_gene	P21-like developmental protein	Development/cell cycle	#FC8D62
Lchi15176	Lchi15176	Lchi15176	EGL1 [Lchi15176]	transcription factor EGL1-like isoform X1	transcription_factor	EGL1	bHLH	#D62728
Lchi09565	Lchi09565	Lchi09565	Lchi09565	CBL-interacting serine/threonine-protein kinase 6	target_gene	CIPK/SnRK3 kinase	Receptor/kinase signaling	#FF7F00
Lchi15589	Lchi15589	Lchi15589	GTL1 [Lchi15589]	trihelix transcription factor GTL1 isoform X1	transcription_factor	GTL1	Trihelix	#8C564B
Lchi08487	Lchi08487	Lchi08487	WOX9 [Lchi08487]	WUSCHEL-related homeobox 9	transcription_factor	WOX9	WOX	#AEC7E8
Lchi04815	Lchi04815	Lchi04815	Lchi04815	protein UNUSUAL FLORAL ORGANS-like	target_gene	UFO F-box protein	Development/cell cycle	#FC8D62
Lchi12819	Lchi12819	Lchi12819	Lchi12819	E3 ubiquitin-protein ligase RDUF1-like	target_gene	E3 ubiquitin ligase	Protein turnover/modification	#F781BF
Lchi01385	Lchi01385	Lchi01385	Lchi01385	abscisic acid receptor PYR1-like	target_gene	PYR/PYL/RCAR ABA receptor	Hormone signaling/metabolism	#E41A1C
Lchi01000	Lchi01000	Lchi01000	Lchi01000	V-type proton ATPase subunit B 2 isoform X1	target_gene	V-type proton ATPase	Transport and membrane	#377EB8
Lchi02104	Lchi02104	Lchi02104	Lchi02104	bidirectional sugar transporter SWEET1	target_gene	SWEET sugar transporter	Transport and membrane	#377EB8
Lchi13511	Lchi13511	Lchi13511	Lchi13511	auxin-induced protein 22B-like	target_gene	Auxin-induced protein	Hormone signaling/metabolism	#E41A1C
Lchi16452	Lchi16452	Lchi16452	Lchi16452	protein AUXIN SIGNALING F-BOX 2-like	target_gene	TIR1/AFB auxin receptor F-box	Hormone signaling/metabolism	#E41A1C
Lchi03719	Lchi03719	Lchi03719	Lchi03719	serine carboxypeptidase II-2-like	target_gene	Serine carboxypeptidase	Protein turnover/modification	#F781BF
Lchi00158	Lchi00158	Lchi00158	bHLH147 [Lchi00158]	transcription factor bHLH147	transcription_factor	bHLH147	bHLH	#D62728
Lchi11837	Lchi11837	Lchi11837	Lchi11837	alpha-mannosidase At3g26720-like	target_gene	Alpha-mannosidase	Carbohydrate/cell wall	#4DAF4A
Lchi17197	Lchi17197	Lchi17197	Lchi17197	oil body-associated protein 1A-like	target_gene	Oil-body protein	Lipid/sterol/storage	#66C2A5
Lchi01554	Lchi01554	Lchi01554	Lchi01554	aquaporin TIP3-1-like	target_gene	MIP aquaporin	Transport and membrane	#377EB8
Lchi05992	Lchi05992	Lchi05992	ERF2 [Lchi05992]	ethylene-responsive transcription factor 2-like	transcription_factor	ERF2	AP2/ERF	#17BECF
Lchi03143	Lchi03143	Lchi03143	Lchi03143	scopoletin glucosyltransferase-like	target_gene	UDP-glycosyltransferase	Specialized metabolism	#984EA3
Lchi17317	Lchi17317	Lchi17317	Lchi17317	probable protein phosphatase 2C 52 isoform X1	target_gene	Protein phosphatase 2C	Hormone signaling/metabolism	#E41A1C
Lchi24864	Lchi24864	Lchi24864	Lchi24864	(S)-coclaurine N-methyltransferase-like isoform X1	target_gene	O/N-methyltransferase	Specialized metabolism	#984EA3
Lchi23975	Lchi23975	Lchi23975	Lchi23975	Anthocyanidin reductase ((2S)-flavan-3-ol-forming)	target_gene	Anthocyanidin reductase	Specialized metabolism	#984EA3
Lchi12025	Lchi12025	Lchi12025	Lchi12025	protein neprosin-like	target_gene	Neprosin-like protease	Protein turnover/modification	#F781BF
Lchi18004	Lchi18004	Lchi18004	bHLH13 [Lchi18004]	transcription factor bHLH13-like isoform X2	transcription_factor	bHLH13	bHLH	#D62728
Lchi11397	Lchi11397	Lchi11397	Lchi11397	lysM domain receptor-like kinase 3	target_gene	LysM receptor-like kinase	Receptor/kinase signaling	#FF7F00
Lchi06116	Lchi06116	Lchi06116	Lchi06116	probable galactinol--sucrose galactosyltransferase 2 isoform X1	target_gene	Raffinose-family glycosyltransferase	Carbohydrate/cell wall	#4DAF4A
Lchi16689	Lchi16689	Lchi16689	Lchi16689	xyloglucan endotransglucosylase protein 2-like	target_gene	XTH/XET	Carbohydrate/cell wall	#4DAF4A
Lchi06311	Lchi06311	Lchi06311	Lchi06311	S-adenosylmethionine synthase 5	target_gene	S-adenosylmethionine synthase	Primary metabolism	#A65628
Lchi02405	Lchi02405	Lchi02405	Lchi02405	serine carboxypeptidase-like 45	target_gene	Serine carboxypeptidase	Protein turnover/modification	#F781BF
Lchi25021	Lchi25021	Lchi25021	HSFA2b [Lchi25021]	heat stress transcription factor A-2b-like	transcription_factor	HSFA2b	HSF	#98DF8A
Lchi18761	Lchi18761	Lchi18761	Lchi18761	deSI-like protein At4g17486	target_gene	DeSI SUMO isopeptidase-like	Protein turnover/modification	#F781BF
Lchi02176	Lchi02176	Lchi02176	Lchi02176	beta-1,3-galactosyltransferase 7-like	target_gene	Galactosyltransferase	Carbohydrate/cell wall	#4DAF4A
Lchi19388	Lchi19388	Lchi19388	Lchi19388	L-type lectin-domain containing receptor kinase VIII.1	target_gene	LecRLK receptor kinase	Receptor/kinase signaling	#FF7F00
Lchi03659	Lchi03659	Lchi03659	Lchi03659	probable xyloglucan glycosyltransferase 5	target_gene	Xyloglucan glycosyltransferase	Carbohydrate/cell wall	#4DAF4A
Lchi02551	Lchi02551	Lchi02551	bHLH62 [Lchi02551]	transcription factor bHLH62-like isoform X1	transcription_factor	bHLH62	bHLH	#D62728
Lchi22140	Lchi22140	Lchi22140	Lchi22140	ABC transporter G family member 8-like	target_gene	ABCG transporter	Transport and membrane	#377EB8
Lchi01501	Lchi01501	Lchi01501	Lchi01501	proteasome subunit beta type-7-B	target_gene	Proteasome	Protein turnover/modification	#F781BF
Lchi01491	Lchi01491	Lchi01491	SCL27 [Lchi01491]	scarecrow-like protein 27	transcription_factor	SCL27	GRAS	#C5B0D5
Lchi14598	Lchi14598	Lchi14598	Lchi14598	pentatricopeptide repeat-containing protein At3g02490, mitochondrial-like isoform X2	target_gene	PPR organelle RNA protein	Nucleic acid/organelle	#8DA0CB
Lchi02233	Lchi02233	Lchi02233	Lchi02233	cyclin-dependent kinase inhibitor 5-like	target_gene	KRP/ICK CDK inhibitor	Development/cell cycle	#FC8D62
Lchi20971	Lchi20971	Lchi20971	Lchi20971	UDP-glycosyltransferase 89B2-like	target_gene	UDP-glycosyltransferase	Specialized metabolism	#984EA3
Lchi07109	Lchi07109	Lchi07109	Lchi07109	65-kDa microtubule-associated protein 1-like	target_gene	MAP65 microtubule-associated protein	Cytoskeleton/cell organization	#00A6D6
Lchi31297	Lchi31297	Lchi31297	ASIL2 [Lchi31297]	trihelix transcription factor ASIL2	transcription_factor	ASIL2	Trihelix	#8C564B
Lchi13821	Lchi13821	Lchi13821	Lchi13821	protein FLX-like 2	target_gene	FLX flowering regulator	Development/cell cycle	#FC8D62
Lchi06686	Lchi06686	Lchi06686	Lchi06686	desmethyl-yatein O-methyltransferase-like	target_gene	O-methyltransferase	Specialized metabolism	#984EA3
Lchi06665	Lchi06665	Lchi06665	Lchi06665	receptor-like protein 6	target_gene	Receptor-like protein	Receptor/kinase signaling	#FF7F00
Lchi25294	Lchi25294	Lchi25294	Lchi25294	subtilisin-like protease SBT1.8	target_gene	Subtilisin-like protease	Protein turnover/modification	#F781BF
Lchi11825	Lchi11825	Lchi11825	Lchi11825	nudix hydrolase 12, mitochondrial-like	target_gene	Nudix hydrolase	Primary metabolism	#A65628
Lchi10644	Lchi10644	Lchi10644	Lchi10644	GDSL esterase/lipase At3g26430-like	target_gene	GDSL esterase/lipase	Lipid/sterol/storage	#66C2A5
Lchi13532	Lchi13532	Lchi13532	Lchi13532	DJ-1 protein homolog E-like	target_gene	DJ-1/PfpI redox protein	Redox/oxygen homeostasis	#B3DE69
Lchi13510	Lchi13510	Lchi13510	Lchi13510	auxin-responsive protein IAA16-like	target_gene	Aux/IAA	Hormone signaling/metabolism	#E41A1C
Lchi11229	Lchi11229	Lchi11229	Lchi11229	24-methylenesterol C-methyltransferase 2-like	target_gene	Sterol methyltransferase	Lipid/sterol/storage	#66C2A5
Lchi01370	Lchi01370	Lchi01370	Lchi01370	late embryogenesis abundant protein 6	target_gene	LEA/dehydrin	Stress/defense/maturation	#E6AB02
Lchi23745	Lchi23745	Lchi23745	Lchi23745	allene oxide cyclase, chloroplastic-like	target_gene	Jasmonate-biosynthesis enzyme	Hormone signaling/metabolism	#E41A1C
Lchi13019	Lchi13019	Lchi13019	Lchi13019	O-fucosyltransferase 31-like	target_gene	O-fucosyltransferase	Protein turnover/modification	#F781BF
Lchi04059	Lchi04059	Lchi04059	Lchi04059	protein DETOXIFICATION 49-like	target_gene	MATE/DTX transporter	Transport and membrane	#377EB8
Lchi17239	Lchi17239	Lchi17239	Lchi17239	non-symbiotic hemoglobin 2	target_gene	Non-symbiotic hemoglobin	Redox/oxygen homeostasis	#B3DE69
Lchi13097	Lchi13097	Lchi13097	Lchi13097	glycosylinositol phosphorylceramide mannosyl transferase 1-like	target_gene	GIPC mannosyltransferase	Lipid/sterol/storage	#66C2A5
Lchi07737	Lchi07737	Lchi07737	Lchi07737	phenylalanine N-monooxygenase-like	target_gene	Phenylalanine N-monooxygenase	Specialized metabolism	#984EA3
Lchi24981	Lchi24981	Lchi24981	TIFY6B [Lchi24981]	protein TIFY 6B isoform X2	transcription_factor	TIFY6B	TIFY	#FF9896
Lchi24373	Lchi24373	Lchi24373	YABBY4 [Lchi24373]	protein YABBY 4-like	transcription_factor	YABBY4	YABBY	#F7B6D2
Lchi27672	Lchi27672	Lchi27672	Lchi27672	acyltransferase GLAUCE	target_gene	Acyltransferase	Lipid/sterol/storage	#66C2A5
Lchi02198	Lchi02198	Lchi02198	HEC1 [Lchi02198]	transcription factor HEC1-like	transcription_factor	HEC1	bHLH	#D62728
Lchi29887	Lchi29887	Lchi29887	Lchi29887	geraniol 8-hydroxylase-like	target_gene	Cytochrome P450/terpenoid hydroxylase	Specialized metabolism	#984EA3
Lchi25245	Lchi25245	Lchi25245	Lchi25245	myosin-binding protein 7-like	target_gene	Myosin-associated protein	Cytoskeleton/cell organization	#00A6D6
Lchi06775	Lchi06775	Lchi06775	Lchi06775	18 kDa seed maturation protein-like	target_gene	Seed maturation protein	Stress/defense/maturation	#E6AB02
Lchi01238	Lchi01238	Lchi01238	Lchi01238	WEB family protein At3g02930, chloroplastic-like isoform X1	target_gene	WEB chloroplast-movement protein	Cytoskeleton/cell organization	#00A6D6
Lchi30887	Lchi30887	Lchi30887	Lchi30887	peamaclein-like	target_gene	Peamaclein-like defense protein	Stress/defense/maturation	#E6AB02
Lchi22404	Lchi22404	Lchi22404	NF-YA1 [Lchi22404]	nuclear transcription factor Y subunit A-1-like isoform X2	transcription_factor	NF-YA1	NF-YA	#1F77B4
Lchi06407	Lchi06407	Lchi06407	Lchi06407	GDSL esterase/lipase At4g16230-like isoform X1	target_gene	GDSL esterase/lipase	Lipid/sterol/storage	#66C2A5
Lchi06060	Lchi06060	Lchi06060	SPL7 [Lchi06060]	squamosa promoter-binding-like protein 7	transcription_factor	SPL7	SBP/SPL	#FFBB78
Lchi18550	Lchi18550	Lchi18550	Lchi18550	probable BOI-related E3 ubiquitin-protein ligase 3	target_gene	E3 ubiquitin ligase	Protein turnover/modification	#F781BF
Lchi15201	Lchi15201	Lchi15201	Lchi15201	aquaporin PIP1-3	target_gene	MIP aquaporin	Transport and membrane	#377EB8
Lchi16402	Lchi16402	Lchi16402	MYB20 [Lchi16402]	transcription factor MYB20-like	transcription_factor	MYB20	MYB	#2CA02C
Lchi11320	Lchi11320	Lchi11320	bHLH63 [Lchi11320]	transcription factor bHLH63-like	transcription_factor	bHLH63	bHLH	#D62728
Lchi01043	Lchi01043	Lchi01043	YABBY5 [Lchi01043]	axial regulator YABBY 5-like	transcription_factor	YABBY5	YABBY	#F7B6D2
Lchi07536	Lchi07536	Lchi07536	Lchi07536	protein NSP-INTERACTING KINASE 3	target_gene	NIK receptor-like kinase	Receptor/kinase signaling	#FF7F00
Lchi22934	Lchi22934	Lchi22934	Lchi22934	seipin-1	target_gene	Seipin	Lipid/sterol/storage	#66C2A5
Lchi26496	Lchi26496	Lchi26496	Lchi26496	late embryogenisis abundant protein 4	target_gene	LEA/dehydrin	Stress/defense/maturation	#E6AB02
Lchi20704	Lchi20704	Lchi20704	Lchi20704	alpha-glucosidase-like	target_gene	Alpha-glucosidase	Carbohydrate/cell wall	#4DAF4A
Lchi20729	Lchi20729	Lchi20729	PIF4 [Lchi20729]	transcription factor PIF4-like isoform X2	transcription_factor	PIF4	bHLH	#D62728
Lchi22376	Lchi22376	Lchi22376	Lchi22376	O-fucosyltransferase 31-like	target_gene	O-fucosyltransferase	Protein turnover/modification	#F781BF
Lchi13837	Lchi13837	Lchi13837	ANT [Lchi13837]	AINTEGUMENTA	transcription_factor_reclassified	ANT	AP2/ERF	#17BECF
Lchi08832	Lchi08832	Lchi08832	Lchi08832	NDR1/HIN1-like protein 6	target_gene	NHL defense protein	Stress/defense/maturation	#E6AB02
Lchi19175	Lchi19175	Lchi19175	CSA [Lchi19175]	transcription factor CSA-like	transcription_factor	CSA	MYB	#2CA02C
Lchi08814	Lchi08814	Lchi08814	HSFC1b [Lchi08814]	heat stress transcription factor C-1b-like	transcription_factor	HSFC1b	HSF	#98DF8A
Lchi12859	Lchi12859	Lchi12859	EMB1444 [Lchi12859]	transcription factor EMB1444-like isoform X2	transcription_factor	EMB1444	bHLH	#D62728
Lchi22690	Lchi22690	Lchi22690	Lchi22690	abscisic stress-ripening protein 2-like	target_gene	ASR	Stress/defense/maturation	#E6AB02
Lchi22888	Lchi22888	Lchi22888	Lchi22888	metallothionein-like protein type 2	target_gene	Metallothionein	Stress/defense/maturation	#E6AB02
Lchi17924	Lchi17924	Lchi17924	Lchi17924	beta-carotene hydroxylase 2, chloroplastic-like	target_gene	Carotenoid hydroxylase	Specialized metabolism	#984EA3
Lchi12955	Lchi12955	Lchi12955	Lchi12955	beta-glucosidase 46-like	target_gene	Beta-glucosidase	Carbohydrate/cell wall	#4DAF4A
Lchi02877	Lchi02877	Lchi02877	SHRM1 [Lchi02877]	protein SHORT ROOT IN SALT MEDIUM 1 isoform X2	transcription_factor	SHRM1	GRAS	#C5B0D5
Lchi08166	Lchi08166	Lchi08166	Lchi08166	protein ENHANCED DISEASE RESISTANCE 2-like isoform X1	target_gene	EDR defense protein	Stress/defense/maturation	#E6AB02
Lchi26947	Lchi26947	Lchi26947	Lchi26947	alcohol dehydrogenase 1-like isoform X1	target_gene	Alcohol dehydrogenase	Primary metabolism	#A65628
Lchi12850	Lchi12850	Lchi12850	Lchi12850	ABA-hypersensitive germination 3	target_gene	AHG3/PP2C	Hormone signaling/metabolism	#E41A1C
Lchi13741	Lchi13741	Lchi13741	Lchi13741	O-fucosyltransferase 7-like isoform X1	target_gene	O-fucosyltransferase	Protein turnover/modification	#F781BF
Lchi02202	Lchi02202	Lchi02202	TRAB1 [Lchi02202]	bZIP transcription factor TRAB1-like isoform X1	transcription_factor	TRAB1	bZIP	#C49C94
Lchi01643	Lchi01643	Lchi01643	Lchi01643	two-component response regulator ORR1-like	target_gene	Two-component response regulator	Hormone signaling/metabolism	#E41A1C
Lchi24833	Lchi24833	Lchi24833	Lchi24833	kinesin-like protein KIN-14B isoform X1	target_gene	Kinesin	Cytoskeleton/cell organization	#00A6D6
Lchi14492	Lchi14492	Lchi14492	Lchi14492	histidine-containing phosphotransfer protein 1-like	target_gene	Histidine phosphotransfer protein	Receptor/kinase signaling	#FF7F00
Lchi11807	Lchi11807	Lchi11807	Lchi11807	pentatricopeptide repeat-containing protein DOT4, chloroplastic-like	target_gene	PPR organelle RNA protein	Nucleic acid/organelle	#8DA0CB
Lchi22902	Lchi22902	Lchi22902	Lchi22902	DNA repair RAD52-like protein 2, chloroplastic	target_gene	RAD52 DNA-repair protein	Nucleic acid/organelle	#8DA0CB
Lchi11105	Lchi11105	Lchi11105	Lchi11105	nucleolin 2-like isoform X3	target_gene	Nucleolin	Nucleic acid/organelle	#8DA0CB
Lchi11711	Lchi11711	Lchi11711	Lchi11711	rac-like GTP-binding protein 5	target_gene	RAC/ROP small GTPase	Receptor/kinase signaling	#FF7F00
Lchi13353	Lchi13353	Lchi13353	Lchi13353	auxin-responsive protein IAA14-like	target_gene	Aux/IAA	Hormone signaling/metabolism	#E41A1C
Lchi04049	Lchi04049	Lchi04049	Lchi04049	major latex protein 146-like	target_gene	MLP/Bet v 1	Stress/defense/maturation	#E6AB02
Lchi14874	Lchi14874	Lchi14874	NF-YA10 [Lchi14874]	nuclear transcription factor Y subunit A-10-like isoform X2	transcription_factor	NF-YA10	NF-YA	#1F77B4
Lchi11629	Lchi11629	Lchi11629	Lchi11629	protein SCAR3-like isoform X2	target_gene	SCAR/WAVE complex protein	Cytoskeleton/cell organization	#00A6D6
Lchi26173	Lchi26173	Lchi26173	Lchi26173	mitochondrial metalloendopeptidase OMA1	target_gene	OMA1 metalloprotease	Protein turnover/modification	#F781BF
Lchi17053	Lchi17053	Lchi17053	Lchi17053	jasmonoyl--L-amino acid synthetase JAR4-like	target_gene	JAR/GH3	Hormone signaling/metabolism	#E41A1C
Lchi01404	Lchi01404	Lchi01404	Lchi01404	leucine carboxyl methyltransferase 1 homolog isoform X4	target_gene	LCMT protein methyltransferase	Protein turnover/modification	#F781BF
Lchi15602	Lchi15602	Lchi15602	Lchi15602	actin-101	target_gene	Actin	Cytoskeleton/cell organization	#00A6D6
Lchi05688	Lchi05688	Lchi05688	Lchi05688	serine/threonine-protein kinase STY13-like isoform X3	target_gene	STY kinase	Receptor/kinase signaling	#FF7F00
Lchi05297	Lchi05297	Lchi05297	Lchi05297	beta-hexosaminidase 3-like	target_gene	Beta-hexosaminidase	Carbohydrate/cell wall	#4DAF4A
Lchi13411	Lchi13411	Lchi13411	Lchi13411	probable protein phosphatase 2C 39	target_gene	Protein phosphatase 2C	Hormone signaling/metabolism	#E41A1C
