orthogroup	partner_species	reference_species	reference_id	partner_id	category	has_reference_model	has_partner_model	reference_primary	partner_primary	reference_seqid	reference_start	reference_end	reference_strand	reference_rank	partner_seqid	partner_start	partner_end	partner_strand	partner_rank	local_support	collinear_orientation	is_collinear	collinear_block_id	collinear_block_size	reference_cds_ok	partner_cds_ok	ka	ks	kaks	kaks_method	aligned_codons	aa_identity	status	reference_cds_len	partner_cds_len	is_collinear_bool
OG0000151	Camellia_oleifera	Liriodendron_chinense	Lchi04570	snap_masked-HiC_scaffold_8-processed-gene-89.22-mRNA-1	background	True	True	Lchi04570	snap_masked-HiC_scaffold_8-processed-gene-89.22-mRNA-1	chr10	12464145	12465098	-	396	HiC_scaffold_8	8964826	8965425	-	363	4	1	True	block_1	5	True	True	0.3707508667393213	4.719351579136844	0.07855970476501999	ML	195.0	0.5282051282051282	ok	585.0	597.0	True
OG0007794	Camellia_oleifera	Liriodendron_chinense	Lchi26574	maker-HiC_scaffold_6-snap-gene-674.16-mRNA-1	background	True	True	Lchi26574	maker-HiC_scaffold_6-snap-gene-674.16-mRNA-1	chr11	12856555	12879089	-	175	HiC_scaffold_6	67430417	67434049	+	1677	2	-1	True	block_1	3	False	False							missing_cds			True
OG0000202	Camellia_oleifera	Liriodendron_chinense	Lchi26591	augustus_masked-HiC_scaffold_6-processed-gene-670.4-mRNA-1	candidate_core	True	True	Lchi26591	augustus_masked-HiC_scaffold_6-processed-gene-670.4-mRNA-1	chr11	13641139	13646751	-	192	HiC_scaffold_6	67040936	67043998	+	1659	2	-1	True	block_1	3	False	True							missing_cds			True
OG0008842	Camellia_oleifera	Liriodendron_chinense	Lchi25232	augustus_masked-HiC_scaffold_6-processed-gene-692.35-mRNA-1	background	True	True	Lchi25232	augustus_masked-HiC_scaffold_6-processed-gene-692.35-mRNA-1	chr11	14978732	14983850	-	203	HiC_scaffold_6	69193463	69193975	+	1715	3	-1	True	block_2	5	True	True	0.3930008700824994	27.09787916694686	0.014503012123615544	ML	153.0	0.5197368421052632	ok	459.0	510.0	True
OG0012758	Camellia_oleifera	Liriodendron_chinense	Lchi25240	maker-HiC_scaffold_6-snap-gene-687.39-mRNA-1	background	True	True	Lchi25240	maker-HiC_scaffold_6-snap-gene-687.39-mRNA-1	chr11	15497167	15520361	+	211	HiC_scaffold_6	68725975	68738413	-	1701	4	-1	True	block_2	5	False	False							missing_cds			True
OG0003400	Camellia_oleifera	Liriodendron_chinense	Lchi01407	maker-HiC_scaffold_1-snap-gene-1749.2-mRNA-1	background	True	True	Lchi01407	maker-HiC_scaffold_1-snap-gene-1749.2-mRNA-1	chr11	56304740	56319963	-	1200	HiC_scaffold_1	174964896	174968115	+	5791	3	-1	True	block_1	4	True	True	0.26203231038038266	1.2749158534647467	0.205529101915453	ML	178.0	0.6348314606741573	ok	534.0	999.0	True
OG0007962	Camellia_oleifera	Liriodendron_chinense	Lchi01404	maker-HiC_scaffold_1-snap-gene-1748.46-mRNA-1	background	True	True	Lchi01404	maker-HiC_scaffold_1-snap-gene-1748.46-mRNA-1	chr11	56418772	56441340	+	1203	HiC_scaffold_1	174798816	174816062	-	5781	3	-1	True	block_1	4	False	False							missing_cds			True
OG0017098	Camellia_oleifera	Liriodendron_chinense	Lchi21822	maker-HiC_scaffold_10-snap-gene-189.1-mRNA-1	background	True	True	Lchi21822	maker-HiC_scaffold_10-snap-gene-189.1-mRNA-1	chr12	30610192	30621044	+	484	HiC_scaffold_10	18946861	18950481	+	691	2	1	True	block_1	3	False	False							missing_cds			True
OG0003462	Camellia_oleifera	Liriodendron_chinense	Lchi21840	maker-HiC_scaffold_10-snap-gene-190.28-mRNA-1	background	True	True	Lchi21840	maker-HiC_scaffold_10-snap-gene-190.28-mRNA-1	chr12	31663644	31720425	+	502	HiC_scaffold_10	19029082	19049781	+	699	2	1	True	block_1	3	False	False							missing_cds			True
OG0003502	Camellia_oleifera	Liriodendron_chinense	Lchi07505	maker-HiC_scaffold_13-snap-gene-156.13-mRNA-1	background	True	True	Lchi07505	maker-HiC_scaffold_13-snap-gene-156.13-mRNA-1	chr12	69607971	69612802	-	1137	HiC_scaffold_13	15621498	15627571	+	745	4	-1	True	block_1	5	False	False							missing_cds			True
OG0018428	Camellia_oleifera	Liriodendron_chinense	Lchi07508	augustus_masked-HiC_scaffold_13-processed-gene-156.16-mRNA-1	background	True	True	Lchi07508	augustus_masked-HiC_scaffold_13-processed-gene-156.16-mRNA-1	chr12	69676071	69678086	-	1140	HiC_scaffold_13	15589406	15591322	+	741	4	-1	True	block_1	5	False	True							missing_cds			True
OG0001155	Camellia_oleifera	Liriodendron_chinense	Lchi12311	maker-HiC_scaffold_10-snap-gene-1936.30-mRNA-1	background	True	True	Lchi12311	maker-HiC_scaffold_10-snap-gene-1936.30-mRNA-1	chr13	42902159	42910997	+	825	HiC_scaffold_10	193630450	193635205	-	6481	2	-1	True	block_1	3	False	False							missing_cds			True
OG0002198	Camellia_oleifera	Liriodendron_chinense	Lchi12316	snap_masked-HiC_scaffold_10-processed-gene-1933.47-mRNA-1	background	True	True	Lchi12316	snap_masked-HiC_scaffold_10-processed-gene-1933.47-mRNA-1	chr13	43033869	43042975	+	830	HiC_scaffold_10	193381752	193386690	-	6471	2	-1	True	block_1	3	False	False							missing_cds			True
OG0011406	Camellia_oleifera	Liriodendron_chinense	Lchi03120	maker-HiC_scaffold_7-snap-gene-1783.11-mRNA-1	background	True	True	Lchi03120	maker-HiC_scaffold_7-snap-gene-1783.11-mRNA-1	chr14	61444343	61454755	-	1069	HiC_scaffold_7	178312734	178318997	-	5821	3	1	True	block_1	4	False	False							missing_cds			True
OG0006026	Camellia_oleifera	Liriodendron_chinense	Lchi03136	augustus_masked-HiC_scaffold_7-processed-gene-1790.7-mRNA-1	background	True	True	Lchi03136	augustus_masked-HiC_scaffold_7-processed-gene-1790.7-mRNA-1	chr14	61891287	61891863	+	1084	HiC_scaffold_7	179078134	179078766	+	5841	2	1	True	block_1	4	True	True	0.2938848917625009	25.63499678257086	0.01146420630574497	ML	142.0	0.5492957746478874	ok	426.0	630.0	True
OG0008385	Camellia_oleifera	Liriodendron_chinense	Lchi10777	augustus_masked-HiC_scaffold_9-processed-gene-9.19-mRNA-1	background	True	True	Lchi10777	augustus_masked-HiC_scaffold_9-processed-gene-9.19-mRNA-1	chr14	72371254	72374076	+	1381	HiC_scaffold_9	936715	937317	-	20	3	-1	True	block_1	4	True	True	0.2129465164296606	2.5307229435768175	0.08414453939738299	ML	139.0	0.6934306569343066	ok	417.0	600.0	True
OG0004066	Camellia_oleifera	Liriodendron_chinense	Lchi10782	maker-HiC_scaffold_9-snap-gene-8.31-mRNA-1	background	True	True	Lchi10782	maker-HiC_scaffold_9-snap-gene-8.31-mRNA-1	chr14	72443281	72472869	-	1386	HiC_scaffold_9	852624	865905	+	16	3	-1	True	block_1	4	False	False							missing_cds			True
OG0007882	Camellia_oleifera	Liriodendron_chinense	Lchi19189	maker-HiC_scaffold_8-snap-gene-1253.34-mRNA-1	background	True	True	Lchi19189	maker-HiC_scaffold_8-snap-gene-1253.34-mRNA-1	chr15	1081276	1090601	-	35	HiC_scaffold_8	125321545	125325624	-	4602	2	1	True	block_1	3	False	True							missing_cds			True
OG0029993	Camellia_oleifera	Liriodendron_chinense	Lchi08182	maker-HiC_scaffold_3-snap-gene-1669.41-mRNA-1	background	True	True	Lchi08182	maker-HiC_scaffold_3-snap-gene-1669.41-mRNA-1	chr15	47472187	47473458	-	754	HiC_scaffold_3	166920532	166923203	+	5730	2	-1	True	block_1	3	False	False							missing_cds			True
OG0008994	Camellia_oleifera	Liriodendron_chinense	Lchi08187	maker-HiC_scaffold_3-snap-gene-1667.2-mRNA-1	background	True	True	Lchi08187	maker-HiC_scaffold_3-snap-gene-1667.2-mRNA-1	chr15	47611359	47613452	-	759	HiC_scaffold_3	166736008	166738398	+	5724	2	-1	True	block_1	3	True	False							missing_cds			True
OG0010761	Camellia_oleifera	Liriodendron_chinense	Lchi08232	snap_masked-HiC_scaffold_8-processed-gene-237.33-mRNA-1	background	True	True	Lchi08232	snap_masked-HiC_scaffold_8-processed-gene-237.33-mRNA-1	chr15	49590276	49604029	-	804	HiC_scaffold_8	23704456	23707889	-	1007	2	1	True	block_2	3	True	False							missing_cds			True
OG0014316	Camellia_oleifera	Liriodendron_chinense	Lchi12670	maker-HiC_scaffold_6-snap-gene-856.35-mRNA-1	background	True	True	Lchi12670	maker-HiC_scaffold_6-snap-gene-856.35-mRNA-1	chr15	56121101	56121594	+	975	HiC_scaffold_6	85601793	85602410	+	2319	2	1	True	block_3	3	True	True	0.13563907395664856	1.878864905574087	0.07219203123877821	ML	128.0	0.7659574468085106	ok	384.0	357.0	True
OG0011358	Camellia_oleifera	Liriodendron_chinense	Lchi12663	maker-HiC_scaffold_6-snap-gene-858.3-mRNA-1	background	True	True	Lchi12663	maker-HiC_scaffold_6-snap-gene-858.3-mRNA-1	chr15	56342182	56355879	+	982	HiC_scaffold_6	85803395	85815405	+	2327	3	1	True	block_3	3	False	False							missing_cds			True
OG0006318	Camellia_oleifera	Liriodendron_chinense	Lchi08595	maker-HiC_scaffold_10-snap-gene-1026.4-mRNA-1	background	True	True	Lchi08595	maker-HiC_scaffold_10-snap-gene-1026.4-mRNA-1	chr15	73932204	73934482	+	1579	HiC_scaffold_10	102635953	102642561	-	3064	3	-1	True	block_1	4	False	True							missing_cds			True
OG0005516	Camellia_oleifera	Liriodendron_chinense	Lchi08610	augustus_masked-HiC_scaffold_10-processed-gene-1023.17-mRNA-1	high_confidence	True	True	Lchi08610	augustus_masked-HiC_scaffold_10-processed-gene-1023.17-mRNA-1	chr15	74158763	74166965	-	1594	HiC_scaffold_10	102374214	102376142	+	3056	2	-1	True	block_1	4	False	True							missing_cds			True
OG0015154	Camellia_oleifera	Liriodendron_chinense	Lchi07232	maker-HiC_scaffold_4-snap-gene-1688.28-mRNA-2	background	True	True	Lchi07232	maker-HiC_scaffold_4-snap-gene-1688.28-mRNA-2	chr16	5336653	5342049	-	164	HiC_scaffold_4	168811067	168816427	+	5229	2	-1	True	block_1	3	True	False							missing_cds			True
OG0001771	Camellia_oleifera	Liriodendron_chinense	Lchi05152	snap_masked-HiC_scaffold_9-processed-gene-18.7-mRNA-1	background	True	True	Lchi05152	snap_masked-HiC_scaffold_9-processed-gene-18.7-mRNA-1	chr17	66662271	66670843	-	1148	HiC_scaffold_9	1787698	1792735	+	63	2	-1	True	block_1	3	False	False							missing_cds			True
OG0010097	Camellia_oleifera	Liriodendron_chinense	Lchi05169	maker-HiC_scaffold_9-snap-gene-16.25-mRNA-1	background	True	True	Lchi05169	maker-HiC_scaffold_9-snap-gene-16.25-mRNA-1	chr17	67163498	67169211	-	1165	HiC_scaffold_9	1651228	1654799	-	55	2	-1	True	block_1	3	False	False							missing_cds			True
OG0005937	Camellia_oleifera	Liriodendron_chinense	Lchi12831	maker-HiC_scaffold_13-snap-gene-1272.9-mRNA-1	background	True	True	Lchi12831	maker-HiC_scaffold_13-snap-gene-1272.9-mRNA-1	chr18	8573550	8577323	+	260	HiC_scaffold_13	127220127	127225136	-	3702	2	-1	True	block_1	3	False	False							missing_cds			True
OG0013654	Camellia_oleifera	Liriodendron_chinense	Lchi28274	maker-HiC_scaffold_1-snap-gene-40.2-mRNA-1	background	True	True	Lchi28274	maker-HiC_scaffold_1-snap-gene-40.2-mRNA-1	chr2	40529528	40576050	+	852	HiC_scaffold_1	4020581	4031918	-	219	2	-1	True	block_1	3	False	False							missing_cds			True
OG0008456	Camellia_oleifera	Liriodendron_chinense	Lchi28290	maker-HiC_scaffold_1-snap-gene-38.16-mRNA-1	background	True	True	Lchi28290	maker-HiC_scaffold_1-snap-gene-38.16-mRNA-1	chr2	42769514	42775227	+	868	HiC_scaffold_1	3808313	3811855	-	201	2	-1	True	block_1	3	False	False							missing_cds			True
OG0001353	Camellia_oleifera	Liriodendron_chinense	Lchi26648	maker-HiC_scaffold_10-snap-gene-1606.0-mRNA-1	background	True	True	Lchi26648	maker-HiC_scaffold_10-snap-gene-1606.0-mRNA-1	chr2	51419283	51438777	-	983	HiC_scaffold_10	160595696	160603208	+	5035	2	-1	True	block_2	3	False	False							missing_cds			True
OG0012743	Camellia_oleifera	Liriodendron_chinense	Lchi11619	snap_masked-HiC_scaffold_4-processed-gene-325.22-mRNA-1	background	True	True	Lchi11619	snap_masked-HiC_scaffold_4-processed-gene-325.22-mRNA-1	chr3	10474459	10476925	-	356	HiC_scaffold_4	32520118	32523449	+	1252	2	-1	True	block_1	4	False	False							missing_cds			True
OG0000270	Camellia_oleifera	Liriodendron_chinense	Lchi11596	maker-HiC_scaffold_4-snap-gene-319.19-mRNA-1	background	True	True	Lchi11596	maker-HiC_scaffold_4-snap-gene-319.19-mRNA-1	chr3	11005067	11014820	-	379	HiC_scaffold_4	31933048	31942301	+	1229	2	-1	True	block_1	4	False	False							missing_cds			True
OG0014301	Camellia_oleifera	Liriodendron_chinense	Lchi18045	maker-HiC_scaffold_4-snap-gene-1053.42-mRNA-1	background	True	True	Lchi18045	maker-HiC_scaffold_4-snap-gene-1053.42-mRNA-1	chr3	19239440	19251791	+	498	HiC_scaffold_4	105296892	105314176	-	3258	3	-1	True	block_2	4	False	False							missing_cds			True
OG0000147	Camellia_oleifera	Liriodendron_chinense	Lchi18039	augustus_masked-HiC_scaffold_4-processed-gene-1043.69-mRNA-1	background	True	True	Lchi18039	augustus_masked-HiC_scaffold_4-processed-gene-1043.69-mRNA-1	chr3	19577142	19581087	+	504	HiC_scaffold_4	104290450	104290692	-	3244	3	-1	True	block_2	4	False	True							missing_cds			True
OG0009403	Camellia_oleifera	Liriodendron_chinense	Lchi07013	maker-HiC_scaffold_4-snap-gene-256.11-mRNA-1	candidate_core	True	True	Lchi07013	maker-HiC_scaffold_4-snap-gene-256.11-mRNA-1	chr3	22175575	22179021	-	591	HiC_scaffold_4	25588419	25595959	+	981	2	1	True	block_3	3	False	False							missing_cds			True
OG0012024	Camellia_oleifera	Liriodendron_chinense	Lchi07003	maker-HiC_scaffold_4-snap-gene-258.31-mRNA-1	background	True	True	Lchi07003	maker-HiC_scaffold_4-snap-gene-258.31-mRNA-1	chr3	22490514	22491923	+	601	HiC_scaffold_4	25811780	25816710	-	996	2	1	True	block_3	3	False	False							missing_cds			True
OG0008299	Camellia_oleifera	Liriodendron_chinense	Lchi06986	maker-HiC_scaffold_4-snap-gene-265.12-mRNA-1	background	True	True	Lchi06986	maker-HiC_scaffold_4-snap-gene-265.12-mRNA-1	chr3	22904136	22909419	-	618	HiC_scaffold_4	26571139	26576588	-	1027	2	1	True	block_4	3	True	True	0.15718014871118946	1.0037152430221903	0.15659834779226772	ML	306.0	0.760797342192691	ok	918.0	924.0	True
OG0015272	Camellia_oleifera	Liriodendron_chinense	Lchi15245	augustus_masked-HiC_scaffold_5-processed-gene-343.7-mRNA-1	background	True	True	Lchi15245	augustus_masked-HiC_scaffold_5-processed-gene-343.7-mRNA-1	chr3	32112936	32120321	-	907	HiC_scaffold_5	34313008	34313874	-	1564	2	-1	True	block_1	3	False	True							missing_cds			True
OG0010199	Camellia_oleifera	Liriodendron_chinense	Lchi15258	maker-HiC_scaffold_5-snap-gene-339.4-mRNA-1	background	True	True	Lchi15258	maker-HiC_scaffold_5-snap-gene-339.4-mRNA-1	chr3	32560640	32562931	+	920	HiC_scaffold_5	33899311	33901013	-	1550	2	-1	True	block_1	3	False	False							missing_cds			True
OG0003755	Camellia_oleifera	Liriodendron_chinense	Lchi26314	snap_masked-HiC_scaffold_5-processed-gene-618.13-mRNA-1	background	True	True	Lchi26314	snap_masked-HiC_scaffold_5-processed-gene-618.13-mRNA-1	chr3	86542475	86545374	-	1898	HiC_scaffold_5	61827204	61830070	-	2608	2	1	True	block_2	3	False	False							missing_cds			True
OG0014381	Camellia_oleifera	Liriodendron_chinense	Lchi11275	maker-HiC_scaffold_3-snap-gene-8.37-mRNA-1	background	True	True	Lchi11275	maker-HiC_scaffold_3-snap-gene-8.37-mRNA-1	chr4	32939751	33029819	+	740	HiC_scaffold_3	868597	875894	-	33	2	1	True	block_1	3	False	False							missing_cds			True
OG0012860	Camellia_oleifera	Liriodendron_chinense	Lchi11258	augustus_masked-HiC_scaffold_3-processed-gene-10.35-mRNA-1	background	True	True	Lchi11258	augustus_masked-HiC_scaffold_3-processed-gene-10.35-mRNA-1	chr4	35447396	35462796	+	757	HiC_scaffold_3	1019932	1021275	+	44	2	1	True	block_1	3	False	True							missing_cds			True
OG0020164	Camellia_oleifera	Liriodendron_chinense	Lchi16168	maker-HiC_scaffold_6-snap-gene-1426.26-mRNA-1	background	True	True	Lchi16168	maker-HiC_scaffold_6-snap-gene-1426.26-mRNA-1	chr4	81038894	81044599	+	1531	HiC_scaffold_6	142670037	142674583	-	4610	3	-1	True	block_1	4	False	False							missing_cds			True
OG0010890	Castanea_mollissima	Liriodendron_chinense	Lchi17371	CmMahoganyH2.06G056100.1.v1.1	background	True	True	Lchi17371	CmMahoganyH2.06G056100.1.v1.1	chr1	2070164	2073746	-	68	Chr06	15079203	15082252	+	1252	2	-1	True	block_3	3	True	False							missing_cds			True
OG0000704	Castanea_mollissima	Liriodendron_chinense	Lchi21758	CmMahoganyH2.06G040900.1.v1.1	candidate_core	True	True	Lchi21758	CmMahoganyH2.06G040900.1.v1.1	chr1	12101867	12113412	+	361	Chr06	10088594	10092719	+	913	3	1	True	block_7	4	False	False							missing_cds			True
OG0007745	Castanea_mollissima	Liriodendron_chinense	Lchi21037	CmMahoganyH2.09G052700.1.v1.1	background	True	True	Lchi21037	CmMahoganyH2.09G052700.1.v1.1	chr1	60722314	60742938	+	1168	Chr09	10555268	10558801	-	1186	2	-1	True	block_1	3	False	True							missing_cds			True
OG0001508	Castanea_mollissima	Liriodendron_chinense	Lchi04679	CmMahoganyH2.01G296800.1.v1.1	background	True	True	Lchi04679	CmMahoganyH2.01G296800.1.v1.1	chr1	86846579	86864763	+	1627	Chr01	72096570	72105092	+	6847	3	1	True	block_2	10	False	False							missing_cds			True
OG0012095	Castanea_mollissima	Liriodendron_chinense	Lchi01003	CmMahoganyH2.05G051400.1.v1.1	background	True	True	Lchi01003	CmMahoganyH2.05G051400.1.v1.1	chr1	95053209	95072519	-	1845	Chr05	16742562	16751634	+	1182	2	-1	True	block_10	6	False	False							missing_cds			True
OG0009535	Castanea_mollissima	Liriodendron_chinense	Lchi00737	CmMahoganyH2.01G215300.1.v1.1	background	True	True	Lchi00737	CmMahoganyH2.01G215300.1.v1.1	chr1	104007676	104027841	+	2110	Chr01	54512628	54513675	-	4980	5	1	True	block_6	4	True	True	0.3445375569461215	23.741103469825475	0.014512280669010296	ML	413.0	0.5504885993485342	ok	1239.0	936.0	True
OG0000434	Castanea_mollissima	Liriodendron_chinense	Lchi06270	CmMahoganyH2.07G165400.1.v1.1	background	True	True	Lchi06270	CmMahoganyH2.07G165400.1.v1.1	chr1	109642040	109647335	+	2308	Chr07	45305653	45308343	-	3730	7	-1	True	block_1	9	False	False							missing_cds			True
OG0006596	Castanea_mollissima	Liriodendron_chinense	Lchi06366	CmMahoganyH2.02G067500.1.v1.1	background	True	True	Lchi06366	CmMahoganyH2.02G067500.1.v1.1	chr10	3944378	3954638	+	153	Chr02	14503674	14507646	+	1536	3	1	True	block_3	4	False	False							missing_cds			True
OG0003156	Castanea_mollissima	Liriodendron_chinense	Lchi04571	CmMahoganyH2.02G047400.1.v1.1	background	True	True	Lchi04571	CmMahoganyH2.02G047400.1.v1.1	chr10	12414410	12422067	-	395	Chr02	10040298	10048056	+	1086	2	-1	True	block_5	3	False	False							missing_cds			True
OG0009392	Castanea_mollissima	Liriodendron_chinense	Lchi28763	CmMahoganyH2.06G063800.1.v1.1	background	True	True	Lchi28763	CmMahoganyH2.06G063800.1.v1.1	chr10	62003561	62026862	+	1261	Chr06	17688132	17698350	-	1428	2	-1	True	block_1	3	False	False							missing_cds			True
OG0000161	Castanea_mollissima	Liriodendron_chinense	Lchi05001	CmMahoganyH2.06G224700.1.v1.1	candidate_core	True	True	Lchi05001	CmMahoganyH2.06G224700.1.v1.1	chr11	47954232	47955765	+	899	Chr06	57207704	57209364	+	5141	2	1	True	block_1	3	False	False							missing_cds			True
OG0004395	Castanea_mollissima	Liriodendron_chinense	Lchi04871	CmMahoganyH2.06G197900.1.v1.1	candidate_core	True	True	Lchi04871	CmMahoganyH2.06G197900.1.v1.1	chr11	51499687	51529668	-	1027	Chr06	51835902	51848605	+	4503	2	-1	True	block_3	5	False	False							missing_cds			True
OG0007885	Castanea_mollissima	Liriodendron_chinense	Lchi01410	CmMahoganyH2.10G038700.1.v1.1	background	True	True	Lchi01410	CmMahoganyH2.10G038700.1.v1.1	chr11	56200315	56207035	-	1197	Chr10	9179489	9183260	+	883	2	-1	True	block_8	3	False	False							missing_cds			True
OG0012158	Castanea_mollissima	Liriodendron_chinense	Lchi01223	CmMahoganyH2.10G020100.1.v1.1	background	True	True	Lchi01223	CmMahoganyH2.10G020100.1.v1.1	chr11	61376640	61384473	+	1384	Chr10	4429905	4440539	-	457	3	-1	True	block_11	3	False	False							missing_cds			True
OG0003065	Castanea_mollissima	Liriodendron_chinense	Lchi22423	CmMahoganyH2.09G052500.1.v1.1	background	True	True	Lchi22423	CmMahoganyH2.09G052500.1.v1.1	chr12	9066505	9091581	-	222	Chr09	10536368	10542241	+	1182	5	-1	True	block_3	11	False	False							missing_cds			True
OG0011958	Castanea_mollissima	Liriodendron_chinense	Lchi20622	CmMahoganyH2.01G182100.1.v1.1	background	True	True	Lchi20622	CmMahoganyH2.01G182100.1.v1.1	chr12	66080769	66083782	-	1025	Chr01	44725390	44733516	-	4206	2	-1	True	block_2	3	True	True	0.14046165919466355	2.0945165491201103	0.06706161345617936	ML	583.0	0.7940140845070423	ok	1749.0	1719.0	True
OG0016231	Castanea_mollissima	Liriodendron_chinense	Lchi07602	CmMahoganyH2.01G050400.1.v1.1	background	True	True	Lchi07602	CmMahoganyH2.01G050400.1.v1.1	chr12	72039234	72039913	-	1234	Chr01	9566912	9567664	+	1149	2	-1	True	block_5	3	True	True	0.21860391908831944	1.1709646104230025	0.18668704172822984	ML	108.0	0.6728971962616822	ok	324.0	342.0	True
OG0004701	Castanea_mollissima	Liriodendron_chinense	Lchi09081	CmMahoganyH2.07G118000.1.v1.1	background	True	True	Lchi09081	CmMahoganyH2.07G118000.1.v1.1	chr13	766951	796241	-	29	Chr07	34359415	34377537	+	2700	3	-1	True	block_1	5	False	False							missing_cds			True
OG0007953	Castanea_mollissima	Liriodendron_chinense	Lchi13021	CmMahoganyH2.07G072900.1.v1.1	background	True	True	Lchi13021	CmMahoganyH2.07G072900.1.v1.1	chr13	5166330	5182423	+	190	Chr07	20526970	20531649	+	1672	2	1	True	block_3	4	False	True							missing_cds			True
OG0012988	Castanea_mollissima	Liriodendron_chinense	Lchi14969	CmMahoganyH2.02G151000.1.v1.1	background	True	True	Lchi14969	CmMahoganyH2.02G151000.1.v1.1	chr13	12543283	12560151	-	401	Chr02	38828392	38834211	-	3475	3	1	True	block_5	6	False	False							missing_cds			True
OG0000082	Castanea_mollissima	Liriodendron_chinense	Lchi20876	CmMahoganyH2.07G093400.1.v1.1	background	True	True	Lchi20876	CmMahoganyH2.07G093400.1.v1.1	chr13	56573378	56583031	-	1093	Chr07	27549991	27551418	-	2143	6	1	True	block_4	7	False	True							missing_cds			True
