pair_id	left_species	left_gene	right_species	right_gene	is_main_pair	is_lchi09014_anchor_pair	is_syntenic	collinearity_block_size	ka	ks	kaks	aa_identity
P0049	Liriodendron_chinense	Lchi23640	Zea_mays	NP_001344440.1	False	False	False		0.167419	5.54874	0.0301725	0.7336065573770492
P0050	Picea_abies	MA_491379g0010	QuercusSuber	XP_023926621.1	True	False	False		0.164082	3.56508	0.0460247	0.7304075235109718
P0051	Picea_abies	MA_491379g0010	Vitis_vinifera	XP_002274796.1	True	False	False		0.171131	3.64007	0.047013	0.7241379310344828
P0052	Picea_abies	MA_491379g0010	Vitis_vinifera	XP_002283699.1	False	False	False		0.172417	3.81393	0.0452072	0.7138364779874213
P0053	Picea_abies	MA_491379g0010	Zea_mays	NP_001130585.1	True	False	False		0.135397	6.02647	0.022467	0.7586206896551724
P0054	Picea_abies	MA_491379g0010	Zea_mays	NP_001344440.1	False	False	False		0.142508	5.98772	0.0238	0.7515923566878981
P0055	QuercusSuber	XP_023926621.1	Vitis_vinifera	XP_002274796.1	True	False	True	8.0	0.0702682	0.855259	0.0821602	0.8795180722891566
P0056	QuercusSuber	XP_023926621.1	Vitis_vinifera	XP_002283699.1	False	False	False		0.0913403	1.24702	0.0732471	0.8338368580060423
P0057	QuercusSuber	XP_023926621.1	Zea_mays	NP_001130585.1	True	False	False		0.116427	4.04386	0.0287911	0.8072289156626506
P0058	QuercusSuber	XP_023926621.1	Zea_mays	NP_001344440.1	False	False	False		0.111118	4.10031	0.0270998	0.8140243902439024
P0059	Vitis_vinifera	XP_002274796.1	Zea_mays	NP_001130585.1	True	False	False		0.0971457	4.37943	0.0221823	0.8308157099697885
P0060	Vitis_vinifera	XP_002274796.1	Zea_mays	NP_001344440.1	False	False	False		0.091744	4.4295	0.0207121	0.8409785932721713
P0061	Vitis_vinifera	XP_002283699.1	Zea_mays	NP_001130585.1	False	False	False		0.112365	4.78243	0.0234955	0.8096676737160121
P0062	Vitis_vinifera	XP_002283699.1	Zea_mays	NP_001344440.1	False	False	False		0.0940749	4.87951	0.0192796	0.8322981366459627
