Orthogroup	source	in_orthofinder_single_copy_list	Castanea_mollissima	Cunninghamia_lanceolata_CULA	Liquidambar_formosana	Liriodendron_chinense	Picea_abies	Quercus_suber	Vitis_vinifera
OG0012080	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G122800	CULA08G34950	L1049_010046	Lchi17626	MA_24476g0010	XP_023916762.1	XP_002272874.2
OG0012081	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G063800	CULA08G06540	L1049_013271	Lchi04297	MA_134078g0010	XP_023891265.1	XP_002279721.1
OG0012082	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G105100	CULA01G51560	L1049_016879	Lchi02591	MA_10434298g0010	XP_065628417.1	XP_002271213.1
OG0012087	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G065500	CULA02G44460	L1049_027886	Lchi19611	MA_10435028g0010	XP_023887731.1	XP_002267281.3
OG0012088	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G140400	CULA04G35760	L1049_028081	Lchi28425	MA_19015g0010	XP_023924265.1	XP_010663104.1
OG0012094	one_per_species_in_Orthogroups	yes	CmMahoganyH2.08G174900	CULA11G25540	L1049_007013	Lchi16382	MA_53991g0010	XP_065631699.1	XP_002284395.2
OG0012099	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G043000	CULA07G41960	L1049_022816	Lchi06057	MA_9449204g0010	XP_023916473.2	XP_002267185.2
OG0012102	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G179200	CULA03G40880	L1049_000983	Lchi05168	MA_449338g0010	XP_023900749.1	XP_002264373.1
OG0012105	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G008700	CULA07G22120	L1049_007913	Lchi18993	MA_93206g0010	XP_023921534.1	XP_002278867.1
OG0012117	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G303100	CULA11G13460	L1049_001297	Lchi05599	MA_89422g0010	XP_023916386.1	XP_002285044.1
OG0012118	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G014600	CULA06G55860	L1049_016824	Lchi21211	MA_115418g0010	XP_023906051.1	XP_002278494.1
OG0012120	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G084100	CULA02G21480	L1049_006235	Lchi05859	MA_18506g0010	XP_023872003.1	XP_002284969.1
OG0012125	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G148300	CULA07G19940	L1049_004915	Lchi29667	MA_10426146g0010	XP_023873615.2	XP_010652447.1
OG0012128	one_per_species_in_Orthogroups	yes	CmMahoganyH2.06G146300	CULA06G00470	L1049_012062	Lchi25214	MA_10433551g0010	XP_023872185.1	XP_002268768.3
OG0012134	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G022000	CULA11G31680	L1049_002484	Lchi08468	MA_10435849g0020	XP_065638097.1	XP_002264216.1
OG0012139	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G135300	CULA09G26830	L1049_003912	Lchi21673	MA_138770g0010	XP_023907545.2	XP_002276857.2
OG0012145	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G133000	CULA10G10830	L1049_010615	Lchi18933	MA_10433448g0010	XP_065629392.1	XP_002280537.1
OG0012146	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G132900	CULA01G66480	L1049_011791	Lchi07399	MA_8643028g0010	XP_023912557.2	XP_002274385.2
OG0012148	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G031700	CULA01G04800	L1049_013743	Lchi11239	MA_32592g0010	XP_023897482.1	XP_002284848.1
OG0012149	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G176400	CULA03G35700	L1049_004263	Lchi25031	MA_10427030g0010	XP_065637555.1	XP_002280519.2
OG0012150	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G051400	CULA08G47450	L1049_013329	Lchi01179	MA_698449g0010	XP_065622883.1	XP_002280634.1
OG0012155	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G010700	CULA09G24930	L1049_026055	Lchi16166	MA_49757g0010	XP_065616157.1	XP_003634940.1
OG0012157	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G111300	CULA10G23780	L1049_020390	Lchi29995	MA_10432319g0010	XP_065639158.1	XP_010649380.1
OG0012159	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G095800	CULA02G53390	L1049_018612	Lchi03699	MA_5461g0010	XP_023886474.2	XP_002283410.2
OG0012162	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G080800	CULA02G37270	L1049_003979	Lchi26877	MA_65964g0010	XP_023886646.2	XP_002276328.2
OG0012164	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G291600	CULA03G12120	L1049_002401	Lchi02865	MA_10431462g0010	XP_023886485.2	XP_002283932.1
OG0012172	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G144200	CULA03G53880	L1049_007232	Lchi11393	MA_10430625g0010	XP_065637676.1	XP_002272590.2
OG0012173	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G016500	CULA05G11530	L1049_006958	Lchi30613	MA_8393g0010	XP_023871449.1	XP_002283449.1
OG0012176	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G002900	CULA07G54860	L1049_004457	Lchi05325	MA_10432879g0010	XP_023884224.1	XP_002266252.1
OG0012179	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G203500	CULA02G39640	L1049_007106	Lchi08395	MA_70651g0010	XP_023913774.1	XP_002263861.1
OG0012183	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G131000	CULA07G31450	L1049_009488	Lchi19960	MA_10426511g0010	XP_023929241.1	XP_002263213.1
OG0012189	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G079400	CULA03G45500	L1049_003973	Lchi09550	MA_60111g0010	XP_023898025.1	XP_002272988.1
OG0012203	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G036200	CULA02G35820	L1049_022065	Lchi19272	MA_947876g0010	XP_023924878.1	XP_002264869.2
OG0012208	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G017300	CULA05G25860	L1049_000394	Lchi29865	MA_23426g0020	XP_065636426.1	XP_002268825.1
OG0012215	one_per_species_in_Orthogroups	yes	CmMahoganyH2.10G147200	CULA11G27610	L1049_025520	Lchi13789	MA_63370g0010	XP_023925173.2	XP_002285788.1
OG0012223	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G070400	CULA08G41330	L1049_004878	Lchi00212	MA_524595g0010	XP_023895866.1	XP_002275043.1
OG0012227	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G032700	CULA01G52140	L1049_016325	Lchi23040	MA_89633g0010	XP_023902368.1	XP_003631980.1
OG0012228	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G280600	CULA09G22560	L1049_002612	Lchi04814	MA_138679g0010	XP_023916263.1	XP_002281420.1
OG0012229	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G289000	CULA10G14090	L1049_002761	Lchi14298	MA_14707g0010	XP_023912746.1	XP_002283393.2
OG0012234	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G139900	CULA03G27180	L1049_025681	Lchi09278	MA_77650g0010	XP_023891583.1	XP_002285817.1
OG0012236	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G163000	CULA06G30060	L1049_024985	Lchi01922	MA_10435618g0010	XP_023924347.2	NP_001268202.1
OG0012239	one_per_species_in_Orthogroups	yes	CmMahoganyH2.05G009800	CULA04G22900	L1049_004275	Lchi11471	MA_99909g0010	XP_023901258.2	XP_002272277.1
OG0012240	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G032800	CULA08G38550	L1049_023085	Lchi23789	MA_981g0010	XP_023882842.2	XP_002266748.1
OG0012243	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G055300	CULA05G47880	L1049_019893	Lchi04426	MA_105116g0010	XP_065631415.1	XP_002274195.1
OG0012252	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G057100	CULA05G41470	L1049_006520	Lchi17883	MA_130980g0010	XP_023876885.1	XP_002275649.1
OG0012256	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G077000	CULA06G24430	L1049_026599	Lchi09354	MA_85007g0010	XP_023904487.1	XP_002272189.1
OG0012257	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G099400	CULA02G70510	L1049_013896	Lchi03814	MA_763g0010	XP_023922437.2	XP_002282880.1
OG0012261	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G154300	CULA01G61130	L1049_023642	Lchi11720	MA_179136g0010	XP_023891455.1	XP_002279446.1
OG0012262	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G016300	CULA09G09850	L1049_020929	Lchi15562	MA_10483g0010	XP_023917210.1	XP_002277942.2
OG0012263	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G062000	CULA06G25330	L1049_020253	Lchi26842	MA_938037g0010	XP_065615827.1	XP_002278422.1
OG0012270	one_per_species_in_Orthogroups	yes	CmMahoganyH2.08G167400	CULA06G31320	L1049_006254	Lchi10122	MA_20694g0010	XP_023883417.2	XP_002283981.1
OG0012276	one_per_species_in_Orthogroups	no	CmMahoganyH2.02G109600	CULA07G44070	L1049_017574	Lchi17197	MA_69008g0010	XP_065616624.1	XP_002264227.1
OG0012279	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G093900	CULA01G69920	L1049_009684	Lchi08529	MA_171460g0010	XP_065627722.1	XP_010655463.1
OG0012281	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G045700	CULA05G50620	L1049_013693	Lchi25514	MA_101067g0010	XP_023881864.1	XP_002283381.1
OG0012288	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G136900	CULA09G36110	L1049_022283	Lchi11880	MA_10427298g0010	XP_023879024.2	XP_002263667.2
OG0012290	one_per_species_in_Orthogroups	no	CmMahoganyH2.07G024600	CULA11G10750	L1049_015302	Lchi05130	MA_10432990g0010	XP_065631920.1	XP_002267083.1
OG0012294	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G054100	CULA01G32830	L1049_021277	Lchi10111	MA_10434590g0010	XP_023926919.1	XP_002268625.1
OG0012295	one_per_species_in_Orthogroups	yes	CmMahoganyH2.04G109900	CULA03G24320	L1049_028573	Lchi02914	MA_10432498g0010	XP_023928001.1	XP_002284929.1
OG0012302	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G164300	CULA03G55890	L1049_012253	Lchi21583	MA_776900g0010	XP_023884221.1	XP_002279143.2
OG0012303	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G228800	CULA10G10420	L1049_024261	Lchi18522	MA_126114g0010	XP_065626185.1	XP_002283267.1
OG0012315	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G264800	CULA07G19590	L1049_003297	Lchi02386	MA_43690g0010	XP_023891260.1	XP_010660870.1
OG0012318	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G090400	CULA01G66370	L1049_028337	Lchi12212	MA_10431892g0020	XP_023898729.2	XP_002273412.2
OG0012319	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G110700	CULA05G53540	L1049_006708	Lchi17244	MA_74869g0010	XP_023882254.1	XP_002273831.1
OG0012320	one_per_species_in_Orthogroups	no	CmMahoganyH2.05G061700	CULA03G62320	L1049_001824	Lchi04758	MA_90165g0010	XP_023901250.1	XP_002281013.1
OG0012323	one_per_species_in_Orthogroups	no	CmMahoganyH2.09G129400	CULA04G01870	L1049_008230	Lchi00651	MA_6846689g0010	XP_023891016.1	XP_002281697.1
OG0012326	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G136900	CULA08G32030	L1049_005375	Lchi22526	MA_627804g0010	XP_023920124.1	XP_002275953.1
OG0012331	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G069900	CULA11G15840	L1049_020299	Lchi13089	MA_166588g0010	XP_023898760.1	XP_003633692.1
OG0012332	one_per_species_in_Orthogroups	no	CmMahoganyH2.03G156700	CULA02G60210	L1049_005846	Lchi23702	MA_10432866g0010	XP_065617615.1	XP_002269008.1
OG0012333	one_per_species_in_Orthogroups	no	CmMahoganyH2.04G167400	CULA05G49820	L1049_027712	Lchi02460	MA_139204g0010	XP_065632088.1	XP_003634223.1
OG0012335	one_per_species_in_Orthogroups	no	CmMahoganyH2.06G139600	CULA11G20970	L1049_011604	Lchi29086	MA_100751g0010	XP_065620634.1	XP_002273082.1
OG0012336	one_per_species_in_Orthogroups	no	CmMahoganyH2.08G015100	CULA05G24800	L1049_006894	Lchi16271	MA_9365g0010	XP_023880127.1	XP_002283553.1
OG0012337	one_per_species_in_Orthogroups	yes	CmMahoganyH2.09G100400	CULA09G02980	L1049_008867	Lchi16502	MA_10434108g0010	XP_065619816.1	XP_002275006.1
OG0012338	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G068600	CULA07G33150	L1049_004691	Lchi06416	MA_41168g0010	XP_065636754.1	XP_002271180.1
OG0012339	one_per_species_in_Orthogroups	no	CmMahoganyH2.10G068700	CULA06G19650	L1049_004347	Lchi06417	MA_10434091g0010	XP_023872132.2	XP_002271147.1
OG0012340	one_per_species_in_Orthogroups	no	CmMahoganyH2.12G036000	CULA07G31400	L1049_019445	Lchi08585	MA_10426825g0010	XP_023923203.1	XP_002277330.1
OG0012342	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G002700	CULA05G42980	L1049_018851	Lchi16764	MA_3571527g0010	XP_023883697.1	XP_003631808.1
OG0012343	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G005300	CULA07G15000	L1049_019000	Lchi03415	MA_10434672g0010	XP_023904721.2	XP_002279110.1
OG0012344	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G005800	CULA06G19970	L1049_018875	Lchi03461	MA_10436679g0010	XP_023904710.2	XP_019075088.1
OG0012350	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G023100	CULA04G38450	L1049_025761	Lchi13167	MA_33034g0010	XP_023876314.2	XP_002282947.3
OG0012353	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G033700	CULA06G41290	L1049_026675	Lchi13901	MA_10437158g0020	XP_023910929.1	XP_010664597.1
OG0012354	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G039400	CULA08G49460	L1049_025491	Lchi23638	MA_130310g0010	XP_023905406.2	XP_010664636.1
OG0012355	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G039700	CULA09G31580	L1049_025432	Lchi23628	MA_18349g0020	XP_023905402.1	XP_002283650.1
OG0012357	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G043600	CULA01G83710	L1049_026299	Lchi18773	MA_10285g0010	XP_065626932.1	XP_002281567.2
OG0012358	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G045100	CULA09G45340	L1049_025380	Lchi18801	MA_10429464g0010	XP_065632189.1	XP_002281468.1
OG0012361	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G057000	CULA11G11870	L1049_026922	Lchi29166	MA_167307g0010	XP_065632256.1	XP_002280655.1
OG0012364	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G069200	CULA09G22310	L1049_026576	Lchi11233	MA_99302g0010	XP_023892486.1	XP_002285902.1
OG0012365	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G069600	CULA01G47750	L1049_025714	Lchi18683	MA_10427889g0020	XP_023892473.1	XP_002285904.1
OG0012367	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G074500	CULA11G22550	L1049_025459	Lchi12120	MA_65267g0010	XP_023907617.2	XP_002272226.1
OG0012368	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G074600	CULA09G44110	L1049_025490	Lchi12119	MA_9447489g0010	XP_023907614.2	XP_002270277.2
OG0012369	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G075200	CULA04G30280	L1049_026088	Lchi26640	MA_10426906g0010	XP_023923182.1	XP_002285933.1
OG0012371	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G080100	CULA08G38230	L1049_026744	Lchi33882	MA_10427730g0010	XP_023912037.2	XP_002273127.1
OG0012372	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G080300	CULA08G44770	L1049_026253	Lchi11279	MA_166041g0010	XP_023912040.1	XP_002274365.1
OG0012373	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G080500	CULA05G27740	L1049_025707	Lchi03366	MA_104176g0010	XP_023905097.1	XP_002274272.1
OG0012374	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G087700	CULA06G53010	L1049_026852	Lchi00613	MA_10215114g0010	XP_023899971.1	XP_002263052.1
OG0012376	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G090500	CULA11G33530	L1049_018598	Lchi19688	MA_680251g0010	XP_065619239.1	XP_002281957.1
OG0012377	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G096000	CULA02G53300	L1049_013130	Lchi09633	MA_18584g0010	XP_023886431.1	XP_002285573.1
OG0012384	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G131900	CULA02G00390	L1049_022845	Lchi06496	MA_139280g0010	XP_065637850.1	XP_010660021.1
OG0012385	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G134300	CULA10G35380	L1049_021866	Lchi06480	MA_121907g0010	XP_023904895.1	XP_002280885.1
OG0012387	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G140100	CULA06G12280	L1049_022129	Lchi00022	MA_10430893g0010	XP_065636209.1	XP_002269912.1
OG0012389	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G150800	CULA02G06470	L1049_026048	Lchi33526	MA_10427853g0010	XP_023911167.2	XP_002269211.1
OG0012391	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G159500	CULA09G24240	L1049_025483	Lchi14004	MA_51020g0020	XP_023922641.1	XP_002265135.1
OG0012395	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G167100	CULA03G57200	L1049_003079	Lchi29504	MA_10280536g0010	XP_023910757.1	XP_010661108.1
OG0012397	one_per_species_in_Orthogroups	yes	CmMahoganyH2.01G167600	CULA01G44330	L1049_002427	Lchi27190	MA_10436278g0010	XP_023910754.2	XP_002284191.1
OG0012398	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G168800	CULA09G37800	L1049_000840	Lchi01008	MA_10426051g0010	XP_023893962.2	XP_002280942.1
OG0012399	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G172400	CULA05G13560	L1049_023087	Lchi03571	MA_123340g0010	XP_023924762.2	XP_002280407.1
OG0012406	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G199800	CULA08G39310	L1049_002030	Lchi25002	MA_185929g0010	XP_023916012.1	XP_019080686.1
OG0012407	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G200400	CULA03G33910	L1049_002859	Lchi05896	MA_922767g0010	XP_023877021.2	XP_002274836.2
OG0012408	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G202700	CULA02G41470	L1049_002238	Lchi19582	MA_10434974g0010	XP_023922068.2	XP_002270157.1
OG0012409	one_per_species_in_Orthogroups	no	CmMahoganyH2.01G202800	CULA11G23090	L1049_003036	Lchi05815	MA_556341g0010	XP_065623899.1	XP_002264144.1
