Orthogroup	C_lanceolata_gene	P_abies_gene	C_lanceolata_orthofinder_id	P_abies_orthofinder_id
OG0000988	CULA01G63760	MA_10539g0020	Cula__CULA01G63760	Pa__MA_10539g0020
OG0000999	CULA07G08880	MA_10434793g0010	Cula__CULA07G08880	Pa__MA_10434793g0010
OG0001042	CULA08G25360	MA_10434292g0010	Cula__CULA08G25360	Pa__MA_10434292g0010
OG0001043	CULA01G27110	MA_66524g0010	Cula__CULA01G27110	Pa__MA_66524g0010
OG0001055	CULA06G42350	MA_829505g0010	Cula__CULA06G42350	Pa__MA_829505g0010
OG0001090	CULA07G32700	MA_133096g0010	Cula__CULA07G32700	Pa__MA_133096g0010
OG0001100	CULA10G09740	MA_12058g0010	Cula__CULA10G09740	Pa__MA_12058g0010
OG0001103	CULA05G24330	MA_112179g0010	Cula__CULA05G24330	Pa__MA_112179g0010
OG0001105	CULA02G71360	MA_76962g0010	Cula__CULA02G71360	Pa__MA_76962g0010
OG0001123	CULA02G30120	MA_31349g0010	Cula__CULA02G30120	Pa__MA_31349g0010
OG0001162	CULA07G16800	MA_58710g0010	Cula__CULA07G16800	Pa__MA_58710g0010
OG0001163	CULA06G50070	MA_16444g0020	Cula__CULA06G50070	Pa__MA_16444g0020
OG0001174	CULA09G42660	MA_393573g0010	Cula__CULA09G42660	Pa__MA_393573g0010
OG0001182	CULA11G12650	MA_48114g0010	Cula__CULA11G12650	Pa__MA_48114g0010
OG0001186	CULA02G62920	MA_128457g0010	Cula__CULA02G62920	Pa__MA_128457g0010
OG0001200	CULA03G38770	MA_2575g0010	Cula__CULA03G38770	Pa__MA_2575g0010
OG0001235	CULA04G01680	MA_46113g0010	Cula__CULA04G01680	Pa__MA_46113g0010
OG0001247	CULA05G37130	MA_10429375g0010	Cula__CULA05G37130	Pa__MA_10429375g0010
OG0001254	CULA01G51210	MA_608026g0010	Cula__CULA01G51210	Pa__MA_608026g0010
OG0001255	CULA10G35130	MA_897286g0010	Cula__CULA10G35130	Pa__MA_897286g0010
OG0001256	CULA06G29070	MA_3787g0010	Cula__CULA06G29070	Pa__MA_3787g0010
OG0001308	CULA10G01550	MA_10429328g0010	Cula__CULA10G01550	Pa__MA_10429328g0010
OG0001347	CULA04G43930	MA_16778g0010	Cula__CULA04G43930	Pa__MA_16778g0010
OG0001348	CULA06G32780	MA_79411g0010	Cula__CULA06G32780	Pa__MA_79411g0010
OG0001353	CULA03G11690	MA_10128792g0010	Cula__CULA03G11690	Pa__MA_10128792g0010
OG0001369	CULA09G01710	MA_8393784g0010	Cula__CULA09G01710	Pa__MA_8393784g0010
OG0001392	CULA06G25010	MA_94963g0010	Cula__CULA06G25010	Pa__MA_94963g0010
OG0001403	CULA06G37540	MA_9458g0010	Cula__CULA06G37540	Pa__MA_9458g0010
OG0001407	CULA10G17950	MA_111347g0010	Cula__CULA10G17950	Pa__MA_111347g0010
OG0001408	CULA01G61140	MA_54382g0010	Cula__CULA01G61140	Pa__MA_54382g0010
OG0001417	CULA05G02740	MA_10437056g0010	Cula__CULA05G02740	Pa__MA_10437056g0010
OG0001441	CULA07G21800	MA_123573g0010	Cula__CULA07G21800	Pa__MA_123573g0010
OG0001447	CULA07G22040	MA_10426663g0020	Cula__CULA07G22040	Pa__MA_10426663g0020
OG0001466	CULA06G09720	MA_10436630g0010	Cula__CULA06G09720	Pa__MA_10436630g0010
OG0001473	CULA05G47010	MA_20247g0030	Cula__CULA05G47010	Pa__MA_20247g0030
OG0001479	CULA10G02670	MA_12086g0010	Cula__CULA10G02670	Pa__MA_12086g0010
OG0001480	CULA10G09090	MA_10431049g0010	Cula__CULA10G09090	Pa__MA_10431049g0010
OG0001482	CULA07G13150	MA_10434986g0010	Cula__CULA07G13150	Pa__MA_10434986g0010
OG0001483	CULA10G28400	MA_99127g0010	Cula__CULA10G28400	Pa__MA_99127g0010
OG0001487	CULA09G31690	MA_17728g0010	Cula__CULA09G31690	Pa__MA_17728g0010
OG0001499	CULA10G32130	MA_4334518g0010	Cula__CULA10G32130	Pa__MA_4334518g0010
OG0001516	CULA06G30490	MA_92961g0010	Cula__CULA06G30490	Pa__MA_92961g0010
OG0001519	CULA05G22160	MA_10436749g0010	Cula__CULA05G22160	Pa__MA_10436749g0010
OG0001520	CULA02G71520	MA_10428209g0010	Cula__CULA02G71520	Pa__MA_10428209g0010
OG0001541	CULA11G11800	MA_105476g0010	Cula__CULA11G11800	Pa__MA_105476g0010
OG0001559	CULA06G06380	MA_56018g0010	Cula__CULA06G06380	Pa__MA_56018g0010
OG0001561	CULA01G68540	MA_7529g0010	Cula__CULA01G68540	Pa__MA_7529g0010
OG0001576	CULA02G68270	MA_10431766g0010	Cula__CULA02G68270	Pa__MA_10431766g0010
OG0001590	CULA10G22130	MA_96606g0010	Cula__CULA10G22130	Pa__MA_96606g0010
OG0001615	CULA03G24220	MA_56119g0010	Cula__CULA03G24220	Pa__MA_56119g0010
OG0001628	CULA04G23840	MA_70988g0010	Cula__CULA04G23840	Pa__MA_70988g0010
OG0001650	CULA07G01470	MA_1948g0010	Cula__CULA07G01470	Pa__MA_1948g0010
OG0001658	CULA11G25180	MA_72615g0010	Cula__CULA11G25180	Pa__MA_72615g0010
OG0001674	CULA04G26120	MA_10434655g0010	Cula__CULA04G26120	Pa__MA_10434655g0010
OG0001675	CULA02G04750	MA_381200g0010	Cula__CULA02G04750	Pa__MA_381200g0010
OG0001679	CULA09G26420	MA_35567g0010	Cula__CULA09G26420	Pa__MA_35567g0010
OG0001685	CULA11G22470	MA_18836g0010	Cula__CULA11G22470	Pa__MA_18836g0010
OG0001701	CULA07G50750	MA_78602g0010	Cula__CULA07G50750	Pa__MA_78602g0010
OG0001709	CULA11G17360	MA_10428871g0010	Cula__CULA11G17360	Pa__MA_10428871g0010
OG0001713	CULA09G35340	MA_38g0010	Cula__CULA09G35340	Pa__MA_38g0010
OG0001714	CULA02G38940	MA_109451g0010	Cula__CULA02G38940	Pa__MA_109451g0010
OG0001750	CULA03G77170	MA_10432514g0010	Cula__CULA03G77170	Pa__MA_10432514g0010
OG0001751	CULA04G42340	MA_8990177g0010	Cula__CULA04G42340	Pa__MA_8990177g0010
OG0001759	CULA11G11821	MA_10428532g0010	Cula__CULA11G11821	Pa__MA_10428532g0010
OG0001824	CULA04G43170	MA_93765g0010	Cula__CULA04G43170	Pa__MA_93765g0010
OG0001827	CULA10G31740	MA_10143671g0010	Cula__CULA10G31740	Pa__MA_10143671g0010
OG0001846	CULA05G54500	MA_20446g0010	Cula__CULA05G54500	Pa__MA_20446g0010
OG0001866	CULA10G14170	MA_3745g0010	Cula__CULA10G14170	Pa__MA_3745g0010
OG0001869	CULA02G27600	MA_7066810g0010	Cula__CULA02G27600	Pa__MA_7066810g0010
OG0001881	CULA03G05640	MA_137810g0010	Cula__CULA03G05640	Pa__MA_137810g0010
OG0001882	CULA09G41980	MA_827642g0010	Cula__CULA09G41980	Pa__MA_827642g0010
OG0001926	CULA01G59850	MA_114242g0010	Cula__CULA01G59850	Pa__MA_114242g0010
OG0001966	CULA02G07090	MA_99276g0010	Cula__CULA02G07090	Pa__MA_99276g0010
OG0001976	CULA05G24160	MA_3940g0010	Cula__CULA05G24160	Pa__MA_3940g0010
OG0001978	CULASca56960.1	MA_8565427g0010	Cula__CULASca56960.1	Pa__MA_8565427g0010
OG0001982	CULA05G53090	MA_1542g0010	Cula__CULA05G53090	Pa__MA_1542g0010
OG0001983	CULA05G48160	MA_119926g0010	Cula__CULA05G48160	Pa__MA_119926g0010
OG0001985	CULA06G41360	MA_103907g0010	Cula__CULA06G41360	Pa__MA_103907g0010
OG0001993	CULA07G25210	MA_102570g0010	Cula__CULA07G25210	Pa__MA_102570g0010
OG0001996	CULA05G17760	MA_91807g0010	Cula__CULA05G17760	Pa__MA_91807g0010
OG0001999	CULA02G33130	MA_10427859g0010	Cula__CULA02G33130	Pa__MA_10427859g0010
OG0002011	CULA08G48550	MA_138296g0010	Cula__CULA08G48550	Pa__MA_138296g0010
OG0002040	CULA07G35140	MA_10428032g0010	Cula__CULA07G35140	Pa__MA_10428032g0010
OG0002041	CULA09G26610	MA_10235390g0010	Cula__CULA09G26610	Pa__MA_10235390g0010
OG0002046	CULA05G55720	MA_75962g0010	Cula__CULA05G55720	Pa__MA_75962g0010
OG0002097	CULA05G03290	MA_10196428g0010	Cula__CULA05G03290	Pa__MA_10196428g0010
OG0002122	CULA03G02940	MA_115613g0010	Cula__CULA03G02940	Pa__MA_115613g0010
OG0002128	CULA09G18980	MA_11753g0010	Cula__CULA09G18980	Pa__MA_11753g0010
OG0002143	CULA10G12420	MA_88944g0010	Cula__CULA10G12420	Pa__MA_88944g0010
OG0002146	CULA10G46600	MA_10427500g0020	Cula__CULA10G46600	Pa__MA_10427500g0020
OG0002149	CULA08G03550	MA_10430510g0010	Cula__CULA08G03550	Pa__MA_10430510g0010
OG0002150	CULA06G49550	MA_130776g0010	Cula__CULA06G49550	Pa__MA_130776g0010
OG0002157	CULA08G17460	MA_17729g0030	Cula__CULA08G17460	Pa__MA_17729g0030
OG0002159	CULA01G83010	MA_318998g0010	Cula__CULA01G83010	Pa__MA_318998g0010
OG0002187	CULA09G30830	MA_649817g0010	Cula__CULA09G30830	Pa__MA_649817g0010
OG0002193	CULA03G46480	MA_166792g0010	Cula__CULA03G46480	Pa__MA_166792g0010
OG0002196	CULA04G52810	MA_728187g0010	Cula__CULA04G52810	Pa__MA_728187g0010
OG0002201	CULA01G52640	MA_10433171g0010	Cula__CULA01G52640	Pa__MA_10433171g0010
OG0002203	CULA08G42760	MA_10143614g0010	Cula__CULA08G42760	Pa__MA_10143614g0010
OG0002205	CULA01G60930	MA_10430890g0010	Cula__CULA01G60930	Pa__MA_10430890g0010
OG0002206	CULA08G26480	MA_118589g0010	Cula__CULA08G26480	Pa__MA_118589g0010
OG0002207	CULA02G24640	MA_10436068g0010	Cula__CULA02G24640	Pa__MA_10436068g0010
OG0002229	CULA08G14630	MA_170713g0010	Cula__CULA08G14630	Pa__MA_170713g0010
OG0002232	CULA08G03910	MA_474303g0010	Cula__CULA08G03910	Pa__MA_474303g0010
OG0002233	CULA01G29610	MA_8416538g0010	Cula__CULA01G29610	Pa__MA_8416538g0010
OG0002237	CULA06G06200	MA_10291382g0010	Cula__CULA06G06200	Pa__MA_10291382g0010
OG0002248	CULA01G70120	MA_10436800g0010	Cula__CULA01G70120	Pa__MA_10436800g0010
OG0002292	CULA11G25680	MA_31797g0010	Cula__CULA11G25680	Pa__MA_31797g0010
OG0002307	CULA03G29030	MA_10431625g0010	Cula__CULA03G29030	Pa__MA_10431625g0010
OG0002311	CULA10G00250	MA_16896g0010	Cula__CULA10G00250	Pa__MA_16896g0010
OG0002318	CULA07G30320	MA_7320190g0010	Cula__CULA07G30320	Pa__MA_7320190g0010
OG0002332	CULA05G31670	MA_174294g0010	Cula__CULA05G31670	Pa__MA_174294g0010
OG0002345	CULA09G31700	MA_136671g0010	Cula__CULA09G31700	Pa__MA_136671g0010
OG0002347	CULA05G47030	MA_109115g0010	Cula__CULA05G47030	Pa__MA_109115g0010
OG0002349	CULA02G67140	MA_10431043g0010	Cula__CULA02G67140	Pa__MA_10431043g0010
OG0002380	CULA01G48430	MA_10166571g0010	Cula__CULA01G48430	Pa__MA_10166571g0010
OG0002383	CULA08G14800	MA_9435705g0010	Cula__CULA08G14800	Pa__MA_9435705g0010
OG0002386	CULA10G10140	MA_10426119g0010	Cula__CULA10G10140	Pa__MA_10426119g0010
OG0002396	CULA05G21150	MA_10435665g0010	Cula__CULA05G21150	Pa__MA_10435665g0010
OG0002404	CULA08G39270	MA_28961g0010	Cula__CULA08G39270	Pa__MA_28961g0010
OG0002406	CULA05G02730	MA_10429869g0010	Cula__CULA05G02730	Pa__MA_10429869g0010
OG0002412	CULA01G51770	MA_10431763g0010	Cula__CULA01G51770	Pa__MA_10431763g0010
OG0002424	CULA03G51920	MA_6175g0020	Cula__CULA03G51920	Pa__MA_6175g0020
OG0002425	CULA09G01860	MA_10431346g0010	Cula__CULA09G01860	Pa__MA_10431346g0010
OG0002438	CULA06G21160	MA_10430074g0010	Cula__CULA06G21160	Pa__MA_10430074g0010
OG0002441	CULA01G44700	MA_12796g0010	Cula__CULA01G44700	Pa__MA_12796g0010
OG0002442	CULA01G80970	MA_24468g0010	Cula__CULA01G80970	Pa__MA_24468g0010
OG0002454	CULA07G54910	MA_61272g0010	Cula__CULA07G54910	Pa__MA_61272g0010
OG0002455	CULA03G07900	MA_10434130g0010	Cula__CULA03G07900	Pa__MA_10434130g0010
OG0002461	CULA06G02340	MA_10434536g0010	Cula__CULA06G02340	Pa__MA_10434536g0010
OG0002465	CULA01G53930	MA_9851g0010	Cula__CULA01G53930	Pa__MA_9851g0010
OG0002474	CULA01G33490	MA_1141871g0010	Cula__CULA01G33490	Pa__MA_1141871g0010
OG0002476	CULA02G17960	MA_940284g0010	Cula__CULA02G17960	Pa__MA_940284g0010
OG0002480	CULA10G45360	MA_134472g0010	Cula__CULA10G45360	Pa__MA_134472g0010
OG0002481	CULA06G28760	MA_72198g0010	Cula__CULA06G28760	Pa__MA_72198g0010
OG0002494	CULA04G29470	MA_10436227g0010	Cula__CULA04G29470	Pa__MA_10436227g0010
OG0002495	CULA08G03670	MA_84015g0030	Cula__CULA08G03670	Pa__MA_84015g0030
OG0002499	CULA10G09210	MA_10432402g0010	Cula__CULA10G09210	Pa__MA_10432402g0010
OG0002506	CULA01G43920	MA_10024388g0010	Cula__CULA01G43920	Pa__MA_10024388g0010
OG0002559	CULA08G47580	MA_10429527g0010	Cula__CULA08G47580	Pa__MA_10429527g0010
OG0002563	CULA06G25080	MA_33970g0010	Cula__CULA06G25080	Pa__MA_33970g0010
OG0002567	CULA07G04850	MA_13968g0020	Cula__CULA07G04850	Pa__MA_13968g0020
OG0002576	CULASca45220.1	MA_122415g0010	Cula__CULASca45220.1	Pa__MA_122415g0010
OG0002577	CULA08G21500	MA_10436725g0010	Cula__CULA08G21500	Pa__MA_10436725g0010
OG0002586	CULA05G01720	MA_20325g0010	Cula__CULA05G01720	Pa__MA_20325g0010
OG0002593	CULA10G12330	MA_10381g0010	Cula__CULA10G12330	Pa__MA_10381g0010
OG0002607	CULA05G01340	MA_10434453g0010	Cula__CULA05G01340	Pa__MA_10434453g0010
OG0002608	CULA05G07870	MA_10433321g0010	Cula__CULA05G07870	Pa__MA_10433321g0010
OG0002610	CULA07G05120	MA_16728g0010	Cula__CULA07G05120	Pa__MA_16728g0010
OG0002616	CULA11G23100	MA_10431217g0010	Cula__CULA11G23100	Pa__MA_10431217g0010
OG0002634	CULA01G52920	MA_10434580g0010	Cula__CULA01G52920	Pa__MA_10434580g0010
OG0002638	CULA08G46470	MA_10433749g0010	Cula__CULA08G46470	Pa__MA_10433749g0010
OG0002644	CULA11G03640	MA_7292g0010	Cula__CULA11G03640	Pa__MA_7292g0010
OG0002651	CULA02G08860	MA_643265g0010	Cula__CULA02G08860	Pa__MA_643265g0010
OG0002653	CULA04G40160	MA_41893g0010	Cula__CULA04G40160	Pa__MA_41893g0010
OG0002658	CULA11G27290	MA_891138g0010	Cula__CULA11G27290	Pa__MA_891138g0010
OG0002659	CULA05G01490	MA_19551g0010	Cula__CULA05G01490	Pa__MA_19551g0010
OG0002665	CULA03G58330	MA_10436930g0020	Cula__CULA03G58330	Pa__MA_10436930g0020
OG0002666	CULA01G05430	MA_10428490g0010	Cula__CULA01G05430	Pa__MA_10428490g0010
OG0002669	CULA04G37540	MA_27109g0020	Cula__CULA04G37540	Pa__MA_27109g0020
OG0002678	CULA03G80150	MA_10265574g0010	Cula__CULA03G80150	Pa__MA_10265574g0010
OG0002685	CULA05G43420	MA_15773g0010	Cula__CULA05G43420	Pa__MA_15773g0010
OG0002693	CULA02G04540	MA_7469g0010	Cula__CULA02G04540	Pa__MA_7469g0010
OG0002703	CULA09G07330	MA_10431120g0010	Cula__CULA09G07330	Pa__MA_10431120g0010
OG0002704	CULA09G27040	MA_8465789g0010	Cula__CULA09G27040	Pa__MA_8465789g0010
OG0002715	CULA05G53850	MA_95656g0010	Cula__CULA05G53850	Pa__MA_95656g0010
OG0002718	CULA01G56470	MA_20587g0010	Cula__CULA01G56470	Pa__MA_20587g0010
OG0002727	CULA05G01110	MA_10426683g0010	Cula__CULA05G01110	Pa__MA_10426683g0010
OG0002744	CULA01G10590	MA_130754g0010	Cula__CULA01G10590	Pa__MA_130754g0010
OG0002760	CULA02G63010	MA_80920g0010	Cula__CULA02G63010	Pa__MA_80920g0010
OG0002762	CULA03G08090	MA_393917g0010	Cula__CULA03G08090	Pa__MA_393917g0010
OG0002808	CULA01G72700	MA_110832g0010	Cula__CULA01G72700	Pa__MA_110832g0010
OG0002814	CULA01G48180	MA_10436820g0010	Cula__CULA01G48180	Pa__MA_10436820g0010
OG0002824	CULA09G26650	MA_212937g0010	Cula__CULA09G26650	Pa__MA_212937g0010
OG0002836	CULA09G29800	MA_109804g0010	Cula__CULA09G29800	Pa__MA_109804g0010
OG0002846	CULA11G16560	MA_594g0010	Cula__CULA11G16560	Pa__MA_594g0010
OG0002850	CULA09G02420	MA_10435945g0010	Cula__CULA09G02420	Pa__MA_10435945g0010
OG0002852	CULA02G23770	MA_12198g0010	Cula__CULA02G23770	Pa__MA_12198g0010
OG0002856	CULA05G38160	MA_10436080g0010	Cula__CULA05G38160	Pa__MA_10436080g0010
OG0002857	CULA09G25750	MA_30699g0010	Cula__CULA09G25750	Pa__MA_30699g0010
OG0002859	CULA10G19510	MA_9241891g0010	Cula__CULA10G19510	Pa__MA_9241891g0010
OG0002861	CULA09G36920	MA_430451g0010	Cula__CULA09G36920	Pa__MA_430451g0010
OG0002867	CULA03G37080	MA_41445g0010	Cula__CULA03G37080	Pa__MA_41445g0010
OG0002870	CULA02G23450	MA_128658g0010	Cula__CULA02G23450	Pa__MA_128658g0010
OG0002872	CULA07G06570	MA_131209g0010	Cula__CULA07G06570	Pa__MA_131209g0010
OG0002882	CULA07G31870	MA_10428244g0010	Cula__CULA07G31870	Pa__MA_10428244g0010
OG0002887	CULA02G27710	MA_10432666g0010	Cula__CULA02G27710	Pa__MA_10432666g0010
OG0002888	CULA09G40350	MA_70893g0010	Cula__CULA09G40350	Pa__MA_70893g0010
OG0002890	CULA09G44150	MA_10429315g0010	Cula__CULA09G44150	Pa__MA_10429315g0010
OG0002893	CULA06G57640	MA_127596g0010	Cula__CULA06G57640	Pa__MA_127596g0010
OG0002897	CULA02G37530	MA_9168g0010	Cula__CULA02G37530	Pa__MA_9168g0010
OG0002901	CULA02G34520	MA_434977g0010	Cula__CULA02G34520	Pa__MA_434977g0010
OG0002902	CULA10G34740	MA_82638g0010	Cula__CULA10G34740	Pa__MA_82638g0010
OG0002915	CULA01G12920	MA_128791g0010	Cula__CULA01G12920	Pa__MA_128791g0010
OG0002931	CULA04G39640	MA_10426100g0010	Cula__CULA04G39640	Pa__MA_10426100g0010
OG0002935	CULA06G51250	MA_92507g0010	Cula__CULA06G51250	Pa__MA_92507g0010
OG0002936	CULA05G03910	MA_13545g0020	Cula__CULA05G03910	Pa__MA_13545g0020
OG0002945	CULA04G36070	MA_175110g0010	Cula__CULA04G36070	Pa__MA_175110g0010
OG0002947	CULA03G16790	MA_445192g0010	Cula__CULA03G16790	Pa__MA_445192g0010
OG0002950	CULA11G33350	MA_45580g0010	Cula__CULA11G33350	Pa__MA_45580g0010
OG0002957	CULA06G23020	MA_10436965g0010	Cula__CULA06G23020	Pa__MA_10436965g0010
OG0002961	CULA09G38940	MA_10437078g0010	Cula__CULA09G38940	Pa__MA_10437078g0010
OG0002973	CULA09G25610	MA_87253g0010	Cula__CULA09G25610	Pa__MA_87253g0010
OG0002982	CULA11G28340	MA_10431583g0020	Cula__CULA11G28340	Pa__MA_10431583g0020
OG0002984	CULA01G00730	MA_10431770g0010	Cula__CULA01G00730	Pa__MA_10431770g0010
OG0002995	CULA04G45680	MA_10427880g0010	Cula__CULA04G45680	Pa__MA_10427880g0010
OG0003003	CULA10G16200	MA_10435785g0010	Cula__CULA10G16200	Pa__MA_10435785g0010
OG0003004	CULA01G43530	MA_10092308g0010	Cula__CULA01G43530	Pa__MA_10092308g0010
OG0003007	CULA05G24870	MA_174291g0010	Cula__CULA05G24870	Pa__MA_174291g0010
OG0003021	CULA06G30220	MA_93682g0010	Cula__CULA06G30220	Pa__MA_93682g0010
OG0003022	CULA02G15940	MA_10435270g0010	Cula__CULA02G15940	Pa__MA_10435270g0010
OG0003041	CULA01G16140	MA_10433604g0010	Cula__CULA01G16140	Pa__MA_10433604g0010
OG0003077	CULA08G15260	MA_9961451g0020	Cula__CULA08G15260	Pa__MA_9961451g0020
OG0003111	CULA09G00850	MA_8370g0020	Cula__CULA09G00850	Pa__MA_8370g0020
OG0003119	CULASca51620.1	MA_167779g0010	Cula__CULASca51620.1	Pa__MA_167779g0010
OG0003124	CULA05G24130	MA_10435098g0010	Cula__CULA05G24130	Pa__MA_10435098g0010
OG0003146	CULA04G30800	MA_30141g0010	Cula__CULA04G30800	Pa__MA_30141g0010
OG0003166	CULA01G03160	MA_184192g0010	Cula__CULA01G03160	Pa__MA_184192g0010
OG0003195	CULA03G51600	MA_17088g0010	Cula__CULA03G51600	Pa__MA_17088g0010
OG0003209	CULA02G67430	MA_46772g0010	Cula__CULA02G67430	Pa__MA_46772g0010
OG0003214	CULA10G08430	MA_19520g0020	Cula__CULA10G08430	Pa__MA_19520g0020
OG0003220	CULA10G45590	MA_63057g0020	Cula__CULA10G45590	Pa__MA_63057g0020
OG0003223	CULA02G38990	MA_5969116g0010	Cula__CULA02G38990	Pa__MA_5969116g0010
OG0003225	CULA09G13030	MA_14581g0010	Cula__CULA09G13030	Pa__MA_14581g0010
OG0003239	CULA02G39190	MA_10429345g0010	Cula__CULA02G39190	Pa__MA_10429345g0010
OG0003244	CULA03G08480	MA_15246g0010	Cula__CULA03G08480	Pa__MA_15246g0010
OG0003253	CULA05G25670	MA_98673g0010	Cula__CULA05G25670	Pa__MA_98673g0010
OG0003255	CULA11G28640	MA_10433288g0010	Cula__CULA11G28640	Pa__MA_10433288g0010
OG0003256	CULA06G06660	MA_912035g0010	Cula__CULA06G06660	Pa__MA_912035g0010
OG0003258	CULA07G19010	MA_353918g0010	Cula__CULA07G19010	Pa__MA_353918g0010
OG0003261	CULA05G32110	MA_283365g0010	Cula__CULA05G32110	Pa__MA_283365g0010
OG0003263	CULA06G51450	MA_64750g0010	Cula__CULA06G51450	Pa__MA_64750g0010
OG0003275	CULA09G24860	MA_99876g0010	Cula__CULA09G24860	Pa__MA_99876g0010
OG0003276	CULA03G39870	MA_83398g0010	Cula__CULA03G39870	Pa__MA_83398g0010
OG0003277	CULA09G30070	MA_40470g0010	Cula__CULA09G30070	Pa__MA_40470g0010
OG0003284	CULA02G38860	MA_89795g0010	Cula__CULA02G38860	Pa__MA_89795g0010
OG0003290	CULA05G41800	MA_18539g0020	Cula__CULA05G41800	Pa__MA_18539g0020
OG0003303	CULA03G69840	MA_117292g0010	Cula__CULA03G69840	Pa__MA_117292g0010
OG0003319	CULA09G13880	MA_10431163g0010	Cula__CULA09G13880	Pa__MA_10431163g0010
OG0003323	CULA01G54520	MA_383796g0010	Cula__CULA01G54520	Pa__MA_383796g0010
OG0003326	CULA04G57790	MA_10427317g0010	Cula__CULA04G57790	Pa__MA_10427317g0010
OG0003341	CULA11G03770	MA_97016g0010	Cula__CULA11G03770	Pa__MA_97016g0010
OG0003344	CULA02G16250	MA_10426496g0010	Cula__CULA02G16250	Pa__MA_10426496g0010
OG0003349	CULA01G09010	MA_20828g0010	Cula__CULA01G09010	Pa__MA_20828g0010
OG0003352	CULA03G32420	MA_20550g0010	Cula__CULA03G32420	Pa__MA_20550g0010
OG0003358	CULA11G30450	MA_305431g0010	Cula__CULA11G30450	Pa__MA_305431g0010
OG0003371	CULA05G43220	MA_10433720g0010	Cula__CULA05G43220	Pa__MA_10433720g0010
OG0003375	CULA11G05220	MA_39207g0010	Cula__CULA11G05220	Pa__MA_39207g0010
OG0003378	CULA09G02440	MA_125077g0010	Cula__CULA09G02440	Pa__MA_125077g0010
OG0003387	CULA02G50620	MA_250962g0010	Cula__CULA02G50620	Pa__MA_250962g0010
OG0003390	CULA01G12360	MA_54017g0010	Cula__CULA01G12360	Pa__MA_54017g0010
OG0003395	CULA05G48230	MA_10427147g0010	Cula__CULA05G48230	Pa__MA_10427147g0010
OG0003397	CULA02G27490	MA_10426277g0020	Cula__CULA02G27490	Pa__MA_10426277g0020
OG0003407	CULA06G26700	MA_10433089g0010	Cula__CULA06G26700	Pa__MA_10433089g0010
OG0003408	CULA05G10040	MA_10284429g0010	Cula__CULA05G10040	Pa__MA_10284429g0010
OG0003420	CULA07G46300	MA_19843g0010	Cula__CULA07G46300	Pa__MA_19843g0010
OG0003435	CULA09G06690	MA_35244g0010	Cula__CULA09G06690	Pa__MA_35244g0010
OG0003441	CULA04G59050	MA_10430946g0010	Cula__CULA04G59050	Pa__MA_10430946g0010
OG0003497	CULA10G10390	MA_10431498g0010	Cula__CULA10G10390	Pa__MA_10431498g0010
OG0003498	CULA07G08360	MA_10433033g0020	Cula__CULA07G08360	Pa__MA_10433033g0020
OG0003504	CULA01G10940	MA_10425932g0020	Cula__CULA01G10940	Pa__MA_10425932g0020
OG0003507	CULA04G43320	MA_94328g0020	Cula__CULA04G43320	Pa__MA_94328g0020
OG0003539	CULA09G29810	MA_19573g0010	Cula__CULA09G29810	Pa__MA_19573g0010
